Year,Id_Country,Id_Experience,Id_Ocupation,Id_Salary,Id_Age,Id_Gender,AngularJS,C,CPlusPlus,CSharp,CSS,HTML5,Java,JavaScript,jQuery,Nodejs,ObjectiveC,Perl,PHP,Python,Ruby,SQL,SQL_Server,TypeScript
2017,India,8 to 9 years,Web developer; Mobile developer; Machine learning specialist,NA,,NA,,,,,,,,,,,,,,,,,,
2017,India,Less than a year,Database administrator,NA,,Male,,,,,,,,,,,,,,,,SQL,,
2017,United States,20 or more years,NA,NA,,Male,,,,,,,,,,,,,,,,,,
2017,Pakistan,3 to 4 years,NA,NA,,NA,,,,,,,,,,,,,,,,,,
2017,India,3 to 4 years,Developer with a statistics or mathematics background,NA,,NA,,,,,,,,,,,,,,,,,,
2017,Finland,18 to 19 years,Web developer,NA,,NA,,,,,,,,,,,,,,,,,,
2017,Bangladesh,11 to 12 years,NA,NA,,NA,,,,,,,,,,,,,,,,,,
2017,Lithuania,1 to 2 years,NA,NA,,NA,,,,,,,,,,,,,,,,,,
2017,United States,18 to 19 years,NA,NA,,Male,,,,,,,,,,,,,,,,,,
2017,India,14 to 15 years,Machine learning specialist; Developer with a statistics or mathematics background; Desktop applications developer,NA,,NA,,,,,,,,,,,,,,,,,,
2017,Afghanistan,Less than a year,Data scientist,NA,,Male,,,,,,,,,,,,,,,,,,
2017,Russian Federation,1 to 2 years,NA,NA,,NA,,,,,,,,,,,,,,,,,,
2017,India,3 to 4 years,NA,NA,,NA,,,,,,,,,,,,,,,,,,
2017,Canada,20 or more years,Web developer; Other,NA,,NA,,,,,,,,,,,,,,,,,,
2017,Italy,20 or more years,Web developer,NA,,Male,,,,,,,,JavaScript,,,,,,,,SQL,,
2017,United States,20 or more years,Developer with a statistics or mathematics background; Desktop applications developer; Database administrator; Systems administrator; DevOps specialist,NA,,Male,,,,C#,,,,,,,,,,,,SQL,,
2017,Canada,15 to 16 years,Web developer,NA,,Male,,,,C#,,,,JavaScript,,,,,,,,SQL,,
2017,United Kingdom,19 to 20 years,Web developer,NA,,Male,,,,,,,,JavaScript,,,,,,Python,,,,
2017,United Kingdom,20 or more years,Web developer,78750,,Male,,,,,,,,JavaScript,,,,,,Python,,SQL,,TypeScript
2017,United States,20 or more years,NA,NA,,Male,,,,,,,,,,,,,,,,,,
2017,Brazil,10 to 11 years,NA,NA,,Male,,,,,,,,,,,,,,,,,,
2017,United States,16 to 17 years,NA,NA,,Male,,,,,,,,,,,,,,,,,,
2017,Ukraine,4 to 5 years,NA,NA,,Male,,C,C++,,,,,JavaScript,,,,,PHP,Python,,,,
2017,India,4 to 5 years,Web developer; Mobile developer,NA,,Male,,,,,,,,,,,Objective-C,,,,,,,
2017,Vietnam,Less than a year,Mobile developer; Systems administrator,NA,,Male,,,,C#,,,,,,,,,,,,SQL,,
2017,Spain,13 to 14 years,Web developer; Mobile developer; Desktop applications developer,NA,,NA,,,,,,,,,,,,,,,,,,
2017,United Kingdom,20 or more years,DevOps specialist,NA,,NA,,,,,,,,,,,,,,,,,,
