Year,Id_Country,Id_Experience,Id_Ocupation,Id_Salary,Id_Age,Id_Gender,AngularJS,C,CPlusPlus,CSharp,CSS,HTML5,Java,JavaScript,jQuery,Nodejs,ObjectiveC,Perl,PHP,Python,Ruby,SQL,SQL_Server,TypeScript
2016,United States,11+ years,Full-stack web developer,"$120,000 - $130,000",40-49,Male,,,,,,,Java,JavaScript,,,,,,,,,,
2016,United States,6 - 10 years,Embedded application developer,"$90,000 - $100,000",30-34,Male,,,,C#,,,,,,,,,,Python,,,,
2016,United States,11+ years,Full-stack web developer,"$130,000 - $140,000",40-49,Male,,,,,,,Java,JavaScript,,,,,,,,SQL,,
2016,United States,11+ years,Full-stack web developer,"$120,000 - $130,000",35-39,Male,,C,,C#,,,Java,JavaScript,,,,,,,Ruby,SQL,SQL Server,
2016,United States,2 - 5 years,Full-stack web developer,"$50,000 - $60,000",20-24,Male,,,C++,,,,Java,JavaScript,,,,Perl,,Python,,SQL,,
2016,United States,2 - 5 years,Mobile developer - iOS,"$60,000 - $70,000",25-29,Male,,,,,,,,,,,Objective-C,,,,,,,
2016,United States,2 - 5 years,Full-stack web developer,"$120,000 - $130,000",25-29,Male,,,C++,,,,Java,JavaScript,,,,,,,,,,
2016,United States,11+ years,Back-end web developer,"$100,000 - $110,000",35-39,Male,,,,C#,,,Java,JavaScript,,Node.js,,,PHP,,,SQL,,
2016,United States,2 - 5 years,Data scientist,"$110,000 - $120,000",30-34,Male,,,,,,,,,,,,,,Python,,SQL,,
2016,United States,6 - 10 years,Mobile developer - iOS,"$140,000 - $150,000",20-24,Male,,,,,,,,,,,Objective-C,,,,,,,
2016,United States,2 - 5 years,Full-stack web developer,"$120,000 - $130,000",30-34,Male,AngularJS,,,,,,Java,JavaScript,,Node.js,,,,,,,,
2016,United States,11+ years,Full-stack web developer,"$90,000 - $100,000",30-34,Male,AngularJS,,,,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,United States,11+ years,Mobile developer - iOS,"$110,000 - $120,000",25-29,Male,,,,,,,Java,,,,,,,,,,,
2016,United States,2 - 5 years,Enterprise level services developer,"$80,000 - $90,000",25-29,Male,,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,United States,6 - 10 years,Back-end web developer,"$100,000 - $110,000",25-29,Male,,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,United States,2 - 5 years,Full-stack web developer,"$60,000 - $70,000",25-29,Male,,,,,,,Java,JavaScript,,,,,PHP,,,,,
2016,United States,2 - 5 years,Front-end web developer,"$70,000 - $80,000",20-24,Male,AngularJS,,,,,,Java,JavaScript,,Node.js,,,PHP,Python,,SQL,SQL Server,
2016,United States,11+ years,Full-stack web developer,"$110,000 - $120,000",35-39,Male,,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,United States,11+ years,Full-stack web developer,"$140,000 - $150,000",30-34,Male,,,,,,,Java,JavaScript,,,,,,Python,,,,
2016,United States,6 - 10 years,Full-stack web developer,"$120,000 - $130,000",25-29,Male,AngularJS,,,C#,,,Java,JavaScript,,Node.js,,,PHP,,Ruby,SQL,,
2016,United States,2 - 5 years,Full-stack web developer,,20-24,Male,,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,United States,11+ years,DevOps,"$140,000 - $150,000",40-49,Male,,,,C#,,,Java,,,,,,PHP,,Ruby,,,
2016,United States,2 - 5 years,Full-stack web developer,"$40,000 - $50,000",20-24,Male,,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,United States,6 - 10 years,Enterprise level services developer,"$70,000 - $80,000",30-34,Male,,,,,,,Java,,,,,,,,,SQL,,
2016,United States,2 - 5 years,Data scientist,"$90,000 - $100,000",25-29,Male,,,,,,,,,,,,,,Python,,SQL,,
2016,United States,11+ years,Full-stack web developer,,30-34,Male,,,,C#,,,Java,JavaScript,,Node.js,,,,,,SQL,SQL Server,
2016,Canada,2 - 5 years,Data scientist,"$60,000 - $70,000",25-29,Male,,,,,,,,,,,,,PHP,Python,,SQL,,
2016,France,Less than 1 year,Full-stack web developer,"$30,000 - $40,000",30-34,Female,,,,,,,Java,JavaScript,,,,,,,Ruby,,,
2016,Netherlands,11+ years,Full-stack web developer,Rather not say,40-49,Male,,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,United States,11+ years,Engineering manager,"$130,000 - $140,000",40-49,Male,,,,,,,Java,,,,,,,Python,,,,
2016,Australia,6 - 10 years,Full-stack web developer,"$60,000 - $70,000",30-34,Male,,,,C#,,,,,,,,,,,,SQL,SQL Server,
2016,Australia,Less than 1 year,Full-stack web developer,"$50,000 - $60,000",25-29,Male,,,,C#,,,Java,JavaScript,,,,,,,,,,
2016,Canada,6 - 10 years,Back-end web developer,"$50,000 - $60,000",30-34,Male,AngularJS,,,C#,,,,,,,,,,,,,,
2016,Canada,2 - 5 years,Front-end web developer,"$30,000 - $40,000",30-34,Female,,,,,,,Java,JavaScript,,,,,,,Ruby,,,
2016,Canada,Less than 1 year,Developer with a statistics or mathematics background,"$50,000 - $60,000",30-34,Male,,C,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,Canada,2 - 5 years,Full-stack web developer,"$50,000 - $60,000",25-29,Male,AngularJS,,,C#,,,Java,JavaScript,,Node.js,,,,Python,,SQL,SQL Server,
2016,Croatia,1 - 2 years,Back-end web developer,"Less than $10,000",20-24,Male,,,,C#,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,France,2 - 5 years,Front-end web developer,"$30,000 - $40,000",30-34,Male,,,,,,,Java,JavaScript,,,,,,,,,,
2016,Germany,6 - 10 years,Student,"$10,000 - $20,000",20-24,Male,,,C++,C#,,,Java,JavaScript,,,,,,,,SQL,,
2016,Germany,11+ years,Enterprise level services developer,"$70,000 - $80,000",35-39,Male,,,,C#,,,,,,,,,,,,,,
2016,Germany,2 - 5 years,DevOps,"$50,000 - $60,000",20-24,Male,,,,,,,Java,,,,,,,,,,,
2016,Netherlands,11+ years,Developer with a statistics or mathematics background,Other (please specify),50-59,Male,,C,,,,,,,,,,Perl,,,,,,
2016,New Zealand,11+ years,Desktop developer,"$60,000 - $70,000",50-59,Male,,,,C#,,,,,,,,,,,,SQL,SQL Server,
2016,Norway,2 - 5 years,Back-end web developer,"$70,000 - $80,000",25-29,Male,,,C++,,,,Java,JavaScript,,,,,,Python,,SQL,,
2016,Romania,1 - 2 years,Full-stack web developer,"$10,000 - $20,000",20-24,Male,,,,,,,Java,JavaScript,,,,,PHP,Python,,SQL,,
2016,Sweden,6 - 10 years,Back-end web developer,"$60,000 - $70,000",25-29,Male,AngularJS,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,Sweden,Less than 1 year,Embedded application developer,"$60,000 - $70,000",25-29,Male,,,C++,C#,,,,,,,,,,Python,,,,
2016,Ukraine,6 - 10 years,Front-end web developer,"$30,000 - $40,000",25-29,Male,AngularJS,,,C#,,,Java,JavaScript,,Node.js,,,,,,,,
2016,Ukraine,2 - 5 years,Desktop developer,"$10,000 - $20,000",25-29,Female,,,C++,,,,Java,JavaScript,,,,,,,,,,
2016,Ukraine,6 - 10 years,Desktop developer,"$40,000 - $50,000",30-34,Male,AngularJS,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,Ukraine,2 - 5 years,Mobile developer - Android,"$10,000 - $20,000",20-24,Male,,,C++,,,,Java,JavaScript,,,,,PHP,Python,,,,
2016,Ukraine,Less than 1 year,Back-end web developer,"$10,000 - $20,000",25-29,Male,,,,,,,Java,JavaScript,,,,,,,Ruby,,,
2016,Ukraine,2 - 5 years,Front-end web developer,"Less than $10,000",25-29,Male,AngularJS,,,,,,Java,JavaScript,,,,,,,,,,
2016,Ukraine,Less than 1 year,Mobile developer,"Less than $10,000",< 20,Male,,,,C#,,,Java,,,,,,,,,,,
2016,Ukraine,1 - 2 years,Quality Assurance,"$20,000 - $30,000",25-29,Male,,,,,,,Java,,,,,,,,,,,
2016,United Kingdom,2 - 5 years,Full-stack web developer,"$80,000 - $90,000",25-29,Male,,,,,,,Java,JavaScript,,,,,,Python,,SQL,,
2016,United States,2 - 5 years,Back-end web developer,"$120,000 - $130,000",25-29,Male,,,,C#,,,Java,,,,,,,,,SQL,,
2016,United States,2 - 5 years,Full-stack web developer,"$50,000 - $60,000",25-29,Male,AngularJS,,,,,,Java,JavaScript,,,,,,Python,,SQL,,
2016,United States,6 - 10 years,Full-stack web developer,"$180,000 - $190,000",25-29,Male,,,,,,,Java,JavaScript,,Node.js,Objective-C,,,,Ruby,SQL,,
2016,United States,1 - 2 years,Back-end web developer,"$90,000 - $100,000",20-24,Male,,,,,,,Java,,,,,,,Python,Ruby,,,
2016,United States,11+ years,Desktop developer,"$70,000 - $80,000",35-39,Male,,,,C#,,,,,,,,,,,,,,
2016,United States,1 - 2 years,Full-stack web developer,"$50,000 - $60,000",20-24,Male,AngularJS,,,,,,Java,JavaScript,,Node.js,,,,,,,,
2016,United States,2 - 5 years,DevOps,"$110,000 - $120,000",25-29,,,,,,,,,,,,,,,Python,Ruby,,,
2016,United States,1 - 2 years,Desktop developer,"$140,000 - $150,000",20-24,Male,,C,C++,C#,,,,,,,,,,,,,,
2016,United States,2 - 5 years,Full-stack web developer,"$100,000 - $110,000",25-29,Male,AngularJS,,,C#,,,Java,JavaScript,,,,,,,,SQL,SQL Server,
2016,United States,6 - 10 years,Full-stack web developer,"$130,000 - $140,000",40-49,Male,,,,,,,Java,JavaScript,,,,,PHP,,,SQL,,
2016,United States,6 - 10 years,Desktop developer,"$40,000 - $50,000",20-24,Male,,,C++,C#,,,,,,,,,,,,SQL,,
2016,United States,11+ years,Desktop developer,"$90,000 - $100,000",50-59,Male,,,,,,,,,,,,,,,,SQL,SQL Server,
