country,self_identification,experience_range,salary_range,tech_do
United States,Engineer,11+ years,"$180,000 - $190,000",C++; iOS; Python
United States,Developer; Engineer; Programmer,11+ years,"$180,000 - $190,000",C++; C#; Matlab
United States,Programmer,2 - 5 years,"$190,000 - $200,000",C++; Go; Java; Python
United States,Developer,11+ years,"$190,000 - $200,000",Arduino / Raspberry Pi; C++; iOS; Java; MongoDB; Node.js; Objective-C; Python
United States,Developer; Engineer; Sr. Developer; Expert,6 - 10 years,"$180,000 - $190,000",C++; C#
Canada,Programmer; Sr. Developer; Guru; Hacker,11+ years,"$190,000 - $200,000",C; C++; Perl
United States,Engineer,6 - 10 years,"$180,000 - $190,000",Cassandra; Python
Switzerland,Engineer,11+ years,"$180,000 - $190,000",C#; F#; Java; JavaScript; SQL; SQL Server
United States,Developer; Sr. Developer; Expert; Full-stack Developer,11+ years,"$180,000 - $190,000",Java; JavaScript; SQL Server
Austria,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000",Android; AngularJS; C; C++; C#; iOS; Java; JavaScript; LAMP; MongoDB; Node.js; Objective-C; ReactJS; Scala; SQL; SQL Server
United States,Engineer; Sr. Developer; Manager; Rockstar,11+ years,"$190,000 - $200,000",Android; C++; Java; Python
United States,Engineer,11+ years,"$190,000 - $200,000",C; Perl
United States,Sr. Developer; Manager,11+ years,"$190,000 - $200,000",C++; Python
United States,Developer,11+ years,"$180,000 - $190,000",C#; SQL Server
Australia,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar,6 - 10 years,"$180,000 - $190,000","Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cassandra; CoffeeScript; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Dart; F#; Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; Matlab; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Rust; Salesforce; Scala; SharePoint; Spark; SQL; SQL Server; Swift; Windows Phone; WordPress"
Brazil,Developer; Programmer; Full Stack Overflow Developer,2 - 5 years,Other (please specify),iOS; Ruby; Swift
Pakistan,Developer,Less than 1 year,Other (please specify),Android
Germany,Programmer; Rockstar; Ninja,6 - 10 years,Other (please specify),Arduino / Raspberry Pi; C; C++; C#; Java; JavaScript; Matlab; PHP; Python; SQL
United States,Developer; Engineer; Programmer; Rockstar,2 - 5 years,"$180,000 - $190,000",Android; Arduino / Raspberry Pi; C++; C#; Cassandra; Hadoop; Java; JavaScript; Perl; PHP; Python; Ruby; SQL; SQL Server
Russian Federation,Developer; Programmer,6 - 10 years,Other (please specify),Clojure; Rust
Ukraine,Developer; Engineer; Programmer; Full-stack Developer,1 - 2 years,Other (please specify),"Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; ReactJS"
United Kingdom,Developer; Programmer; Guru,11+ years,"$180,000 - $190,000",Python; R; SQL
United Kingdom,Developer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000",C#; SQL; SQL Server
India,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,Other (please specify),Android; C++; Java; JavaScript; PHP; SQL
Germany,Developer; Engineer; Expert; Hacker,11+ years,"$190,000 - $200,000",Arduino / Raspberry Pi; C; JavaScript
United States,Sr. Developer,11+ years,"$180,000 - $190,000",iOS; Objective-C
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Guru; Expert; Full-stack Developer; Hacker,11+ years,"$190,000 - $200,000","AngularJS; CoffeeScript; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; LAMP; Node.js; Objective-C; PHP; Redis; Ruby; WordPress"
United Kingdom,Engineer; Sr. Developer,11+ years,"$190,000 - $200,000",Java; Scala
United States,Engineer; Programmer; Sr. Developer; Ninja; Guru; Expert; Full-stack Developer,11+ years,"$190,000 - $200,000","Android; AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); Go; iOS; Java; JavaScript; LAMP; MongoDB; Node.js; SQL; SQL Server"
United States,Developer; Programmer; Sr. Developer,11+ years,"$180,000 - $190,000",C#; SQL; SQL Server
United States,Developer; Programmer; Manager; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,Other (please specify),"Android; AngularJS; C++; C#; Cordova; Cloud (AWS, GAE, Azure, etc.); F#; iOS; Java; JavaScript; MongoDB; Node.js; Ruby; SQL; SQL Server; Swift; Windows Phone; WordPress"
United States,Developer; Engineer; Sr. Developer; Manager; Full-stack Developer,2 - 5 years,"$190,000 - $200,000",C#; JavaScript; Python
Spain,Developer; Manager; Rockstar; Ninja; Expert,1 - 2 years,"$190,000 - $200,000","Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cassandra; CoffeeScript; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Dart; F#; Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; Matlab; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Rust; Salesforce; Scala; SharePoint; Spark; SQL; SQL Server; Swift; Visual Basic; Windows Phone; WordPress"
Belgium,Developer; Engineer; Programmer,6 - 10 years,Other (please specify),Android; Java
United Kingdom,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$190,000 - $200,000",AngularJS; C#; JavaScript; SQL
United States,Engineer; Sr. Developer; Expert; Full-stack Developer,11+ years,"$180,000 - $190,000",Arduino / Raspberry Pi; AngularJS; C#; F#; SQL; SQL Server
Sweden,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Ninja; Guru; Expert,11+ years,"$190,000 - $200,000",Android; C; iOS; SQL
Switzerland,Engineer; Sr. Developer; Manager; Hacker,11+ years,"$190,000 - $200,000",C; C++; C#; Python; R
United States,Developer; Programmer; Manager; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,Other (please specify),"Android; C#; Cordova; Cloud (AWS, GAE, Azure, etc.); iOS; Java; Node.js; Swift"
United States,Developer; Engineer; Programmer; Sr. Developer; Ninja; Expert; Full-stack Developer,11+ years,"$190,000 - $200,000",Java; JavaScript; Salesforce; SQL
Canada,Engineer; Manager; Expert,11+ years,"$180,000 - $190,000",C; C#; Cassandra; JavaScript; Node.js; SQL
United States,Developer; Rockstar,11+ years,"$190,000 - $200,000",Java; SharePoint
United States,Manager,11+ years,"$180,000 - $190,000","Cloud (AWS, GAE, Azure, etc.); Hadoop; Python; R; Salesforce; Spark"
India,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert,11+ years,"$190,000 - $200,000",Android; Java
Germany,Engineer,11+ years,Other (please specify),Android; Arduino / Raspberry Pi; C; C++; C#; Java; PHP; R; SQL; SQL Server; Windows Phone; WordPress
United States,Developer; Programmer; Sr. Developer; Rockstar; Full-stack Developer,11+ years,"$180,000 - $190,000",Android; iOS; Java; Objective-C; SQL; Swift
Finland,,6 - 10 years,Other (please specify),AngularJS; JavaScript; PHP; Ruby; WordPress
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Expert; Full-stack Developer,11+ years,"$190,000 - $200,000",Android; C#; Cordova; Java; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; ReactJS; Redis; SharePoint; SQL; SQL Server
United Kingdom,Developer; Engineer; Programmer; Sr. Developer; Ninja,11+ years,Other (please specify),Java; MongoDB; R; Scala
United States,Manager,11+ years,"$190,000 - $200,000",C; Java; PHP
United States,Programmer; Manager,11+ years,"$180,000 - $190,000",Android; Arduino / Raspberry Pi; AngularJS; C; Java; Perl; ReactJS; SQL
Haiti,Developer; Sr. Developer; Guru,6 - 10 years,"$180,000 - $190,000",Android; AngularJS; C#; Cordova; iOS; Java; JavaScript; SQL; Swift; WordPress
United Kingdom,Developer; Manager; Full-stack Developer,11+ years,"$180,000 - $190,000","C; Cloud (AWS, GAE, Azure, etc.); JavaScript; Perl; SQL"
United States,Guru,11+ years,"$190,000 - $200,000",C++; JavaScript; Perl
Canada,Developer,6 - 10 years,"$180,000 - $190,000",Java
Belgium,Developer; Engineer; Programmer; Sr. Developer; Expert,11+ years,"$180,000 - $190,000",AngularJS; Java; JavaScript
United States,Developer; Programmer; Full-stack Developer; Hacker,6 - 10 years,"$190,000 - $200,000","Cloud (AWS, GAE, Azure, etc.); JavaScript; Perl; SQL"
United Kingdom,Developer; Sr. Developer; Expert; Full-stack Developer,11+ years,"$190,000 - $200,000",C#; SQL Server
United Kingdom,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,"$180,000 - $190,000","AngularJS; Cloud (AWS, GAE, Azure, etc.); JavaScript; MongoDB; Node.js; PHP"
United States,Developer; Engineer; Programmer; Guru; Expert,11+ years,Other (please specify),C#; Windows Phone
Czech Republic,Developer; Engineer; Programmer; Sr. Developer; Manager; Ninja; Expert; Full-stack Developer; Hacker,11+ years,Other (please specify),Arduino / Raspberry Pi; C; C++; SQL
United Kingdom,Developer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000",JavaScript; PHP; SQL
United Kingdom,Engineer,11+ years,"$190,000 - $200,000",C#; JavaScript; Salesforce
United States,Developer; Sr. Developer; Full-stack Developer,11+ years,Other (please specify),AngularJS; JavaScript; MongoDB; Node.js
United Kingdom,Developer; Engineer; Programmer; Sr. Developer,11+ years,"$190,000 - $200,000",AngularJS; JavaScript; Node.js; ReactJS
Guinea,Rockstar; Ninja; Guru; Hacker,2 - 5 years,Other (please specify),Python
United States,Developer; Programmer,1 - 2 years,Other (please specify),JavaScript; LAMP; Ruby
Hungary,Developer; Engineer; Programmer; Sr. Developer,11+ years,"$180,000 - $190,000",Java; JavaScript; Perl; Python; Scala; SQL; SQL Server; Visual Basic
Antarctica,,Less than 1 year,Other (please specify),
Russian Federation,,Less than 1 year,Other (please specify),C++
United States,Programmer,2 - 5 years,Other (please specify),Objective-C
Benin,Rockstar; Ninja; Guru; Hacker,11+ years,Other (please specify),
Netherlands,,2 - 5 years,Other (please specify),JavaScript
Bangladesh,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,11+ years,Other (please specify),"Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cassandra; CoffeeScript; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Dart; F#; Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; Matlab; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Rust; Salesforce; Scala; SharePoint; Spark; SQL; SQL Server; Swift; Visual Basic; Windows Phone; WordPress"
Korea South,Developer; Engineer; Programmer; Ninja; Hacker,11+ years,Other (please specify),Android; Arduino / Raspberry Pi; C++; Java; JavaScript; Node.js; PHP; SQL
Mexico,Ninja; Full-stack Developer,2 - 5 years,Other (please specify),JavaScript; ReactJS
United Kingdom,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),Android; C; C++; C#; Objective-C
Slovenia,Developer; Programmer,2 - 5 years,Other (please specify),
United States,Developer; Programmer,2 - 5 years,Other (please specify),C++; C#; Python; SQL
Switzerland,Developer; Programmer; Ninja; Guru; Expert,2 - 5 years,Other (please specify),Android; C#; Java; JavaScript; PHP; SQL
United States,Developer; Programmer; Ninja; Guru; Hacker,6 - 10 years,Other (please specify),Android; Java
United Kingdom,,11+ years,Other (please specify),PHP; SQL Server; WordPress
Netherlands,Programmer,11+ years,Other (please specify),Windows Phone
United States,Programmer,11+ years,Other (please specify),C++; C#; Go; JavaScript; SQL
Spain,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),Android; Go; Java
Germany,Developer; Programmer; Ninja; Expert; Full-stack Developer,11+ years,Other (please specify),JavaScript; Python; Salesforce; SQL; SQL Server; Visual Basic
New Zealand,Developer; Manager; Rockstar,11+ years,Other (please specify),Perl; SQL
United Kingdom,Programmer; Sr. Developer; Manager; Rockstar; Expert; Full-stack Developer; Hacker,11+ years,"$180,000 - $190,000","Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; Node.js; PHP; SQL"
Denmark,Developer; Engineer; Programmer; Hacker,6 - 10 years,Other (please specify),Arduino / Raspberry Pi; C; C++; C#; JavaScript; Matlab; PHP; Python
Spain,Developer; Programmer; Full-stack Developer,1 - 2 years,Other (please specify),C++; JavaScript; LAMP; Node.js; PHP; Redis
United States,,6 - 10 years,"$180,000 - $190,000",C++; Python; SQL
France,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer; Hacker,6 - 10 years,,Android; AngularJS; Cordova; iOS; PHP; SQL
Norway,Developer; Engineer; Programmer; Full-stack Developer; Hacker,2 - 5 years,,Arduino / Raspberry Pi; C#; Cordova; JavaScript; MongoDB; SQL; SQL Server; Visual Basic; Windows Phone
India,Developer; Engineer; Programmer; Sr. Developer; Hacker,2 - 5 years,,C; Hadoop; Java; Python; R
United Kingdom,Developer; Engineer; Programmer; Rockstar; Ninja; Full-stack Developer,2 - 5 years,,Android; C#; Java; JavaScript; Python
Germany,Sr. Developer,11+ years,,C++; C#; Python
Russian Federation,Sr. Developer,6 - 10 years,,AngularJS; JavaScript; Node.js
Germany,Engineer; Sr. Developer,11+ years,,C++; C#; Windows Phone
India,Developer; Engineer; Programmer,2 - 5 years,,Java
Romania,Developer,6 - 10 years,,PHP; SQL
Canada,Developer; Programmer,2 - 5 years,,AngularJS; Python
Denmark,Developer,11+ years,,C#; SQL; SQL Server
Germany,Developer; Rockstar,6 - 10 years,,Java; JavaScript; LAMP; SQL; Visual Basic
Poland,Ninja,2 - 5 years,,
Russian Federation,Developer; Programmer,1 - 2 years,,C#; SQL
United States,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,,C; C++; Java; JavaScript; Python
United States,Sr. Developer; Rockstar; Guru; Expert; Hacker,11+ years,,C#; JavaScript; SQL Server
United States,Developer; Programmer; Full-stack Developer,2 - 5 years,,AngularJS; JavaScript; LAMP; Node.js; PHP; SQL
United States,Developer,,,C++; C#
Czech Republic,Developer; Engineer; Hacker,2 - 5 years,,
India,Engineer; Programmer; Sr. Developer,6 - 10 years,,Java; SQL
Canada,Developer,11+ years,,Java; JavaScript; SQL
United States,Developer; Engineer; Programmer; Sr. Developer; Ninja; Expert,11+ years,,Android; Go; Java; Python
Portugal,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer,2 - 5 years,,Android; C#; Java; SQL
Brazil,Manager,6 - 10 years,,C#; SQL Server
Canada,Developer; Programmer,2 - 5 years,,Java; Python
Romania,Developer; Engineer; Programmer; Full-stack Developer; Hacker,6 - 10 years,,C#; Python; SQL; Visual Basic
Sri Lanka,Engineer; Sr. Developer; Hacker,2 - 5 years,,Java; JavaScript
United Kingdom,Developer; Engineer; Sr. Developer,11+ years,,AngularJS; Cordova; Java; MongoDB
United Kingdom,Developer; Programmer,6 - 10 years,,Android; C++; C#; Visual Basic
United States,Expert,11+ years,,
United States,Developer; Engineer; Programmer; Manager,2 - 5 years,,Arduino / Raspberry Pi; C; C++; C#; Haskell; Matlab; Python
,Developer; Programmer; Sr. Developer,11+ years,,JavaScript; SQL; SQL Server; Visual Basic
Netherlands,Developer; Engineer; Programmer,2 - 5 years,,C++; Java
Canada,Programmer; Sr. Developer; Manager; Rockstar,11+ years,,Android; C#; Cordova; Java; JavaScript; Node.js; SharePoint; SQL; SQL Server
Austria,Developer; Programmer; Rockstar,1 - 2 years,,C#; JavaScript; SQL
Bulgaria,Engineer,11+ years,,Java; Salesforce; SQL
Canada,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer; Full Stack Overflow Developer,2 - 5 years,,C#; JavaScript; Node.js; SQL; SQL Server; Visual Basic
Romania,Full-stack Developer,11+ years,,JavaScript; PHP; SQL; WordPress
Russian Federation,Engineer; Sr. Developer; Expert,11+ years,,Java
United Kingdom,Developer; Programmer; Sr. Developer,6 - 10 years,,Android; C#; iOS; Java; JavaScript; LAMP; Node.js; Objective-C; PHP; ReactJS; SQL; SQL Server; Windows Phone
United States,Developer; Engineer; Programmer,6 - 10 years,,C; Java
Canada,Developer; Programmer; Sr. Developer; Expert,11+ years,,C#; SQL Server
United Kingdom,Developer; Engineer; Programmer,11+ years,,C; C++; Java; JavaScript; Visual Basic
United States,Developer; Engineer; Programmer,2 - 5 years,,C++; C#; Matlab; Python
Canada,Developer; Engineer; Programmer; Hacker,2 - 5 years,,Android; Arduino / Raspberry Pi; C; C++; JavaScript; Node.js; Python
Czech Republic,Developer; Engineer; Programmer; Expert,11+ years,,Python; SQL
Germany,Sr. Developer; Rockstar,6 - 10 years,,Java; JavaScript; Perl
Philippines,Developer,2 - 5 years,,Python
Poland,Developer; Engineer; Programmer,2 - 5 years,,Java; ReactJS; Ruby
Russian Federation,Developer; Programmer,2 - 5 years,,Android; Python
United States,Engineer,6 - 10 years,,C; Python
Australia,Sr. Developer; Manager,11+ years,,C#; iOS; Objective-C; SQL; SQL Server
India,Sr. Developer,6 - 10 years,,SQL; SQL Server
United Kingdom,,11+ years,,Java
United States,Developer; Programmer; Hacker,11+ years,,C; C++; JavaScript; Perl; Python; Ruby; SQL
India,Developer; Programmer; Sr. Developer; Full-stack Developer,2 - 5 years,,Android; Java; JavaScript; LAMP; PHP; SQL
,Programmer,6 - 10 years,,C++; C#; JavaScript; SharePoint; SQL Server
Austria,Rockstar,6 - 10 years,,Arduino / Raspberry Pi; JavaScript; Scala
Israel,Sr. Developer; Manager; Expert; Hacker,11+ years,,Android; C; iOS; Java; Objective-C
Colombia,Developer,2 - 5 years,,Python
Brazil,Developer,1 - 2 years,,AngularJS; JavaScript; Python; Ruby
France,Developer; Engineer; Programmer; Manager; Ninja,2 - 5 years,,Android; Java; JavaScript; PHP; SQL
Philippines,Developer,2 - 5 years,,JavaScript; SQL
Finland,Developer; Programmer; Full-stack Developer,1 - 2 years,,"AngularJS; Cordova; Cloud (AWS, GAE, Azure, etc.); Go; JavaScript; MongoDB; Node.js"
India,Developer; Programmer; Full-stack Developer,Less than 1 year,,"C; C++; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; MongoDB; Node.js; Windows Phone"
United Kingdom,Sr. Developer,11+ years,,JavaScript; Python; R; SQL
Germany,Engineer,1 - 2 years,,AngularJS; C#; Java; JavaScript; Node.js
Germany,Engineer; Programmer,1 - 2 years,,Android; C#
Germany,Engineer,2 - 5 years,,C++; C#; Matlab
Iran,Developer; Engineer; Manager,2 - 5 years,,Java; JavaScript; PHP; WordPress
Philippines,Developer,Less than 1 year,,C#
Australia,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,,Arduino / Raspberry Pi; C; C++; Go; Matlab; Redis; Ruby; Rust; SQL
Netherlands,Engineer,1 - 2 years,,C#; SQL; SQL Server
United States,Programmer,1 - 2 years,,C#; JavaScript; SQL; SQL Server; Visual Basic
India,Developer; Engineer; Programmer; Manager,Less than 1 year,,Android
Germany,Developer,2 - 5 years,,Android; Java
India,Developer; Engineer; Programmer; Sr. Developer; Manager,,,
India,Programmer,1 - 2 years,,
New Zealand,Developer; Engineer,6 - 10 years,,Android; Hadoop; Java; PHP; Python; R; Salesforce
Germany,Developer,11+ years,,AngularJS; JavaScript; LAMP; PHP; SQL; SQL Server
Spain,Programmer,1 - 2 years,,Android; C; C++; C#; Java; PHP; Visual Basic
India,Developer,,,C; C++; C#; JavaScript
Switzerland,Sr. Developer,11+ years,,Hadoop; Java; Scala; Spark
United States,Developer; Programmer; Sr. Developer; Full Stack Overflow Developer,11+ years,,C; C++; C#; iOS; Objective-C
United States,Developer; Programmer,2 - 5 years,,Java; JavaScript
United States,Developer; Engineer; Programmer,,,Android; C; C#; Java; Python; SQL; SQL Server; Windows Phone
Belarus,Developer; Ninja,Less than 1 year,,iOS; Objective-C; Swift
Kyrgyzstan,Developer; Full-stack Developer,Less than 1 year,,JavaScript; Ruby; SQL
Iran,Developer,1 - 2 years,,Android
India,Programmer,1 - 2 years,,C; Java; Python; SQL
India,Developer; Engineer,Less than 1 year,,Android
Romania,Developer; Engineer; Programmer,Less than 1 year,,C; Java; JavaScript; SQL
Israel,Engineer; Programmer; Full-stack Developer,6 - 10 years,,Android; C; Matlab; Python
Germany,Engineer; Programmer,2 - 5 years,,C#; iOS; Java; Objective-C; PHP
India,Developer,Less than 1 year,,C; Java; JavaScript; Matlab; MongoDB; Node.js; PHP; SQL
Israel,Developer,6 - 10 years,,PHP; SQL; WordPress
United States,Developer; Engineer; Programmer; Full-stack Developer; Hacker,2 - 5 years,,Android; C; Cordova; Go; iOS; Java; JavaScript; Matlab; Node.js; Objective-C
Czech Republic,Developer,,,PHP
United Kingdom,Developer; Programmer,1 - 2 years,,
Austria,Developer; Engineer; Programmer,6 - 10 years,,Android; AngularJS; C; C#; CoffeeScript; Haskell; iOS; Java; JavaScript; Objective-C
Germany,Developer; Expert,2 - 5 years,,C++
Romania,Developer; Programmer,1 - 2 years,,JavaScript; PHP
Poland,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,,AngularJS; Clojure; Java; JavaScript; MongoDB; Node.js; SQL
Germany,Developer; Rockstar,2 - 5 years,,JavaScript; PHP; SQL; WordPress
United States,Programmer,1 - 2 years,,C++; C#; JavaScript; Ruby; SQL; SQL Server
Canada,Engineer; Programmer; Sr. Developer,6 - 10 years,,Android; C; C++; Java
Russian Federation,Developer; Programmer,2 - 5 years,,Android; Arduino / Raspberry Pi; Java
Poland,Developer; Engineer; Programmer,Less than 1 year,,C++; C#; Java
Israel,Developer; Engineer,2 - 5 years,,AngularJS; Java; JavaScript; Node.js; Python
Netherlands,Developer; Engineer; Programmer; Guru,2 - 5 years,,Android; Arduino / Raspberry Pi; C; C++; C#; Hadoop; iOS; Java; JavaScript; Node.js; Objective-C; PHP; Python; SQL
Chile,Developer,11+ years,,C#
India,Developer; Engineer; Programmer,1 - 2 years,,Android; C; Cordova; Go; Java; JavaScript
Germany,Developer; Programmer,6 - 10 years,,C#
Netherlands,Expert; Hacker,11+ years,,AngularJS; JavaScript; Python
Germany,Developer,2 - 5 years,,"C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; SQL"
Russian Federation,Sr. Developer; Manager; Full-stack Developer,11+ years,,C++; C#; CoffeeScript; JavaScript; MongoDB; Python; Redis; SQL; SQL Server
Philippines,Programmer,1 - 2 years,,C; C++
Canada,Engineer; Programmer,11+ years,,C; C++; Java; JavaScript; Matlab; MongoDB; Perl; Python; R; SQL; Visual Basic
Netherlands,Developer,11+ years,,Java; JavaScript; MongoDB; Python; Scala; SQL
Austria,Developer; Full-stack Developer,6 - 10 years,,JavaScript; LAMP; PHP; Python; SQL
Spain,,1 - 2 years,,Java; JavaScript; SQL
France,Developer; Programmer; Rockstar; Ninja,2 - 5 years,,C; C++; C#; JavaScript; LAMP; Objective-C; PHP; Ruby; SQL
Australia,Developer; Engineer; Programmer; Rockstar; Ninja,2 - 5 years,,AngularJS; C; C#; iOS; JavaScript; MongoDB; Node.js; Objective-C; PHP; Python; ReactJS; SQL; SQL Server; Swift; Visual Basic; WordPress
Sweden,Developer; Programmer,2 - 5 years,,C#; JavaScript; SQL
United States,Sr. Developer; Hacker,11+ years,,C#; Cordova; iOS; JavaScript; Objective-C; SQL Server
Austria,Developer; Engineer; Programmer,6 - 10 years,,Android; C; C++; C#; Haskell; Java; Python; SQL
Bangladesh,Developer; Programmer; Expert; Full-stack Developer,2 - 5 years,,JavaScript; PHP; Ruby
Austria,Developer; Programmer; Full Stack Overflow Developer,11+ years,,"Android; C#; Cloud (AWS, GAE, Azure, etc.); Haskell; Java; SQL; SQL Server; Windows Phone"
Denmark,Developer; Programmer,2 - 5 years,,Java; JavaScript; Python
Austria,Developer,Less than 1 year,,C#; JavaScript
Iran,Developer; Programmer; Full-stack Developer; Full Stack Overflow Developer,2 - 5 years,,C#; JavaScript
United Kingdom,Developer; Programmer; Full-stack Developer,2 - 5 years,,Android; Java; LAMP; PHP; Ruby; SQL
Brazil,Developer; Engineer; Hacker,2 - 5 years,,Java; Python
Italy,Developer,2 - 5 years,,JavaScript; LAMP; PHP; R; SQL
Czech Republic,Developer; Programmer,2 - 5 years,,C++; C#; Haskell; Java
Israel,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,,AngularJS; Go; JavaScript; Python; SQL
Netherlands,Developer; Programmer,11+ years,,C#; Python; SQL Server
Finland,Developer; Engineer; Programmer; Full Stack Overflow Developer,2 - 5 years,,"Arduino / Raspberry Pi; C++; Cloud (AWS, GAE, Azure, etc.); Node.js; Python"
United States,Developer; Engineer; Programmer,2 - 5 years,,Android; Arduino / Raspberry Pi; C; C++; C#; Java; Visual Basic
Iran,Developer; Programmer,2 - 5 years,,Android; C; C++; C#; Java; PHP; SQL; SQL Server; Windows Phone
United States,Developer; Programmer; Expert; Hacker,11+ years,,C#; JavaScript; PHP
India,Developer,6 - 10 years,,C#; SQL Server
Belgium,Developer; Programmer; Full-stack Developer,6 - 10 years,,C#
Germany,Developer,6 - 10 years,,Android; Haskell; Java; Perl; Ruby; Spark
Italy,Developer,Less than 1 year,,AngularJS; JavaScript; Python
Hungary,Developer; Engineer; Ninja,1 - 2 years,,AngularJS; C#; JavaScript; SQL
Bangladesh,Full Stack Overflow Developer,Less than 1 year,,Android; Java; PHP
Austria,Developer; Engineer; Programmer; Hacker,1 - 2 years,,Java; R
United States,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Ninja; Full-stack Developer,2 - 5 years,,Android; AngularJS; Java; JavaScript; Node.js; SQL
Poland,Developer,1 - 2 years,,AngularJS; JavaScript; Node.js; ReactJS; WordPress
Bulgaria,Full-stack Developer,2 - 5 years,,JavaScript; PHP; SQL
Poland,Developer; Programmer; Full Stack Overflow Developer; Hacker,6 - 10 years,,Python
Australia,Developer; Programmer; Expert,6 - 10 years,,Android; AngularJS; C#; iOS; JavaScript; PHP
Colombia,Developer,2 - 5 years,,Python
United States,Developer; Programmer,2 - 5 years,,Android; iOS; Java; JavaScript; ReactJS; Swift
Denmark,Developer; Engineer; Programmer; Full-stack Developer; Full Stack Overflow Developer,2 - 5 years,,AngularJS; C++; C#; JavaScript; SQL
France,Programmer,11+ years,,Arduino / Raspberry Pi; LAMP; PHP; Python; SQL
Nepal,Developer; Programmer,Less than 1 year,,JavaScript; PHP; Python; SQL; WordPress
Greece,Developer; Ninja; Full-stack Developer,2 - 5 years,,AngularJS; JavaScript; MongoDB; Node.js; R
Iran,Developer; Engineer; Programmer; Full-stack Developer,6 - 10 years,,PHP; Python
United States,Developer; Full-stack Developer,2 - 5 years,,JavaScript; PHP; SQL
Italy,Manager,11+ years,,C#; PHP
Netherlands,Developer; Engineer,6 - 10 years,,C; C++; Python
Poland,Developer; Engineer; Programmer,2 - 5 years,,JavaScript; PHP; SQL; SQL Server
India,Developer; Engineer; Programmer,6 - 10 years,,PHP; SQL
Canada,Developer; Programmer; Ninja,2 - 5 years,,C#; Java; JavaScript; SQL; SQL Server
Germany,Engineer; Programmer,2 - 5 years,,"Cloud (AWS, GAE, Azure, etc.); Java; LAMP; SQL"
United Kingdom,Developer; Programmer; Sr. Developer,11+ years,,Android; C; C++; C#; iOS; Java; SQL; Swift
France,,11+ years,,C; JavaScript; Perl; PHP; SQL
Russian Federation,Developer; Programmer; Hacker,6 - 10 years,,Python
United Kingdom,Developer; Expert; Full-stack Developer,6 - 10 years,,JavaScript; LAMP; PHP; SQL; WordPress
Germany,Sr. Developer,11+ years,,C++
Russian Federation,Developer; Programmer,2 - 5 years,,C++; C#; JavaScript; PHP; Python
United States,Developer; Sr. Developer; Full-stack Developer,2 - 5 years,,C#; JavaScript; SQL Server
India,Developer,Less than 1 year,,LAMP; PHP
United States,,1 - 2 years,,C#; Java
