country,self_identification,experience_range,salary_range,tech_do
Netherlands,Developer; Engineer; Programmer; Expert; Hacker,11+ years,Other (please specify),C; Perl
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer; Hacker,6 - 10 years,"$180,000 - $190,000",CoffeeScript; iOS; JavaScript; Node.js; Objective-C; ReactJS; Redis; Ruby; SQL
Netherlands,Sr. Developer,11+ years,"$180,000 - $190,000",C#; JavaScript; SQL; SQL Server
United States,Engineer; Programmer; Manager; Expert; Hacker,11+ years,"$180,000 - $190,000",Arduino / Raspberry Pi; C; C++; Python
Ukraine,Developer,1 - 2 years,Other (please specify),JavaScript
United States,Developer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$190,000 - $200,000",C#; JavaScript; SQL; SQL Server
,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,11+ years,Unemployed,"Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cassandra; CoffeeScript; Cordova; Clojure; Cloud (AWS, GAE, Azure, etc.); Dart; F#; Go; Hadoop; Haskell; iOS; Java; JavaScript; LAMP; Matlab; MongoDB; Node.js; Objective-C; Perl; PHP; Python; R; ReactJS; Redis; Ruby; Rust; Salesforce; Scala; SharePoint; Spark; SQL; SQL Server; Swift; Visual Basic; Windows Phone; WordPress"
United States,Developer; Programmer; Full-stack Developer; Hacker,2 - 5 years,"$180,000 - $190,000",C++; Java; JavaScript; Node.js; Python; ReactJS; Rust; Scala; SQL
India,Developer; Engineer; Programmer; Guru; Full-stack Developer,11+ years,"$190,000 - $200,000",AngularJS; Go; JavaScript; PHP; Python; Redis
"Myanmar, {Burma}",Developer; Programmer; Sr. Developer; Full-stack Developer,2 - 5 years,Other (please specify),Java; PHP
United States,Developer; Engineer; Programmer; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,6 - 10 years,"$180,000 - $190,000",Android; Arduino / Raspberry Pi; AngularJS; Go; Java; JavaScript; Python; Ruby; Scala; Swift
Venezuela,Developer; Full-stack Developer,6 - 10 years,Other (please specify),PHP
United States,Sr. Developer,11+ years,"$180,000 - $190,000",C#; Java; SQL; SQL Server
United Kingdom,Developer; Engineer; Hacker,11+ years,"$180,000 - $190,000","C#; Clojure; Cloud (AWS, GAE, Azure, etc.); JavaScript; MongoDB; Node.js; Python; R; SQL"
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Hacker,11+ years,"$190,000 - $200,000","Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; Scala; Spark; SQL"
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Full-stack Developer,11+ years,"$180,000 - $190,000",C#; JavaScript; SQL; SQL Server
India,Developer; Programmer,1 - 2 years,"$180,000 - $190,000",AngularJS; Cordova; JavaScript
Kyrgyzstan,Developer; Programmer; Guru; Full-stack Developer,1 - 2 years,Other (please specify),C#; JavaScript; SQL Server
Colombia,Engineer,6 - 10 years,"$180,000 - $190,000",AngularJS; Go; JavaScript; PHP; Python; R
United States,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,"$180,000 - $190,000",C++; C#; JavaScript
Germany,Engineer; Programmer; Sr. Developer; Manager; Guru; Expert,11+ years,"$180,000 - $190,000","Arduino / Raspberry Pi; C#; Cloud (AWS, GAE, Azure, etc.); PHP; Python; SQL Server; Visual Basic"
United States,Engineer; Sr. Developer; Rockstar; Guru; Full-stack Developer,11+ years,"$180,000 - $190,000",AngularJS; JavaScript; Python; Redis; SQL
United States,Engineer; Sr. Developer,2 - 5 years,"$190,000 - $200,000","Cloud (AWS, GAE, Azure, etc.); Python; SQL"
Egypt,Developer; Programmer; Full-stack Developer,2 - 5 years,Other (please specify),C; C#; SharePoint; SQL; SQL Server
United States,,6 - 10 years,"$180,000 - $190,000","C#; Cloud (AWS, GAE, Azure, etc.); F#; R; SQL; SQL Server"
United States,Developer; Engineer; Manager; Ninja; Hacker,11+ years,"$180,000 - $190,000",Arduino / Raspberry Pi; C; Java; LAMP; MongoDB; Python; Spark
United States,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Ninja; Guru; Expert,11+ years,"$180,000 - $190,000","C#; Cloud (AWS, GAE, Azure, etc.); SQL; SQL Server"
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Full-stack Developer,11+ years,"$190,000 - $200,000",C#; Java; PHP; SQL
United States,Developer; Engineer; Programmer; Sr. Developer; Expert,11+ years,"$180,000 - $190,000",C++; JavaScript; Python; SQL
United States,Developer; Engineer; Expert,11+ years,"$180,000 - $190,000","C#; Cloud (AWS, GAE, Azure, etc.)"
Japan,Manager,11+ years,"$180,000 - $190,000",Java; JavaScript; Scala; SQL; WordPress
Korea South,Developer; Programmer; Ninja,2 - 5 years,"$180,000 - $190,000",Java; JavaScript; SQL
United States,Developer; Programmer; Full-stack Developer,2 - 5 years,"$190,000 - $200,000",JavaScript; Node.js; ReactJS; Ruby; Scala
United States,Sr. Developer; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,11+ years,"$190,000 - $200,000",AngularJS; C; C++; iOS; Java; JavaScript; Node.js; Objective-C
Austria,Developer; Engineer; Programmer; Sr. Developer; Guru; Full-stack Developer; Hacker,11+ years,Other (please specify),CoffeeScript; JavaScript; Perl; Python; Ruby
United States,Sr. Developer; Full-stack Developer,11+ years,"$190,000 - $200,000",C#; JavaScript; SQL; SQL Server
Other (please specify),Developer; Programmer,2 - 5 years,Unemployed,Android; C#; Java; JavaScript; PHP; Python; Visual Basic
