country,self_identification,experience_range,salary_range,tech_do
United States,Engineer; Programmer; Sr. Developer; Guru; Expert; Hacker,11+ years,"$180,000 - $190,000",C; Python; SQL
United States,Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000","AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; SQL; SQL Server"
United States,Sr. Developer; Expert,11+ years,"$190,000 - $200,000",AngularJS; Java; JavaScript
United States,Developer; Engineer; Sr. Developer; Full-stack Developer,11+ years,"$190,000 - $200,000",Hadoop; Java; MongoDB
United States,Engineer; Sr. Developer; Expert; Full-stack Developer; Full Stack Overflow Developer,11+ years,"$190,000 - $200,000","Arduino / Raspberry Pi; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; Node.js"
Germany,Programmer; Sr. Developer; Manager; Guru,11+ years,"$190,000 - $200,000",Java; JavaScript; Redis; SQL
United States,Developer; Sr. Developer; Manager,11+ years,"$190,000 - $200,000",C#; Java; JavaScript; Perl; PHP; Python; SQL
United States,Manager; Full-stack Developer; Hacker,11+ years,"$190,000 - $200,000","Android; Cloud (AWS, GAE, Azure, etc.); Go; iOS; JavaScript; Node.js; Objective-C; Ruby"
United States,Developer; Engineer; Programmer; Manager,11+ years,"$190,000 - $200,000","Android; C; C++; C#; Cloud (AWS, GAE, Azure, etc.); iOS; Java; JavaScript; Objective-C; Perl; Python; SQL; Swift"
Austria,Engineer; Sr. Developer; Rockstar; Full-stack Developer,11+ years,Other (please specify),"Android; Arduino / Raspberry Pi; AngularJS; Cloud (AWS, GAE, Azure, etc.); JavaScript; Python; Redis"
Romania,Developer; Programmer; Rockstar; Ninja,6 - 10 years,Other (please specify),C++; PHP; SQL; SQL Server
United States,Developer,6 - 10 years,Other (please specify),C#; JavaScript; Python; Visual Basic
United Kingdom,Developer,11+ years,"$190,000 - $200,000",Android; Arduino / Raspberry Pi; C++; Java; JavaScript; SQL; SQL Server; Visual Basic; Windows Phone
United States,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,"$180,000 - $190,000",C; Python; SQL; SQL Server
United Kingdom,Engineer,2 - 5 years,Other (please specify),Python
United States,Developer; Engineer; Programmer,2 - 5 years,"$190,000 - $200,000",Python; SQL
United States,Engineer,11+ years,"$190,000 - $200,000",C#; Node.js; SQL; SQL Server; Swift
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer,11+ years,"$180,000 - $190,000",C++; C#; Perl
United States,Programmer,2 - 5 years,"$180,000 - $190,000",R
Austria,Developer; Programmer; Hacker,11+ years,Other (please specify),C++
United Kingdom,Engineer; Manager,11+ years,"$180,000 - $190,000",Hadoop; Java; Scala; Spark
United Kingdom,Developer; Programmer; Sr. Developer; Guru; Expert,11+ years,Other (please specify),SQL; SQL Server; Visual Basic
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Full-stack Developer; Full Stack Overflow Developer,11+ years,"$190,000 - $200,000",Java; JavaScript; SQL
United States,,11+ years,"$190,000 - $200,000",PHP; Salesforce; SharePoint; SQL; WordPress
United States,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer,6 - 10 years,"$180,000 - $190,000",Go; Java; JavaScript; Python; Ruby
United States,Sr. Developer,11+ years,"$180,000 - $190,000",Android; C; C#; iOS; Java; Objective-C; Swift; Windows Phone
China,Full-stack Developer,11+ years,"$190,000 - $200,000",Android; AngularJS; Hadoop; iOS; Java; JavaScript; Objective-C; Python; Redis; Scala; Spark; SQL
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer,6 - 10 years,"$180,000 - $190,000","AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; MongoDB; Node.js; Redis; SQL; SQL Server"
United States,Developer; Programmer; Sr. Developer; Manager; Full-stack Developer,11+ years,"$190,000 - $200,000","AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; SQL; SQL Server"
Sweden,Developer; Engineer; Programmer; Expert; Full Stack Overflow Developer,,"$180,000 - $190,000",C#; SQL; SQL Server; Visual Basic; WordPress
United States,Developer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer; Hacker,11+ years,Other (please specify),Arduino / Raspberry Pi; JavaScript; LAMP; Node.js; Perl; Python; ReactJS; Redis; SQL; WordPress
United States,Sr. Developer; Manager,11+ years,"$180,000 - $190,000","AngularJS; Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; PHP; Redis; SQL"
Germany,Engineer; Sr. Developer; Rockstar; Full Stack Overflow Developer,6 - 10 years,Other (please specify),C; Cordova; iOS; JavaScript; Objective-C; Swift
Australia,Developer; Programmer; Sr. Developer,11+ years,Other (please specify),C#; Clojure; Java; MongoDB; SQL
United States,Sr. Developer,11+ years,"$180,000 - $190,000",C#; JavaScript; SQL Server
United States,Developer; Engineer; Sr. Developer; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,11+ years,"$190,000 - $200,000","Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; MongoDB; Node.js; Salesforce"
China,Developer,1 - 2 years,Other (please specify),Java; JavaScript; MongoDB; Node.js; Python; Redis
Turkey,Developer; Programmer; Sr. Developer; Rockstar; Ninja; Expert; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,Unemployed,C#; Cordova; JavaScript; SharePoint
United States,Manager; Full-stack Developer,11+ years,"$180,000 - $190,000",C#; Salesforce; SQL; SQL Server
United States,Engineer; Manager,11+ years,"$190,000 - $200,000",Go; JavaScript; LAMP; MongoDB; Node.js; Ruby
Canada,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,"$190,000 - $200,000",C#; Java; JavaScript; Salesforce
Denmark,Developer; Programmer; Sr. Developer; Manager; Rockstar; Guru; Expert,11+ years,"$190,000 - $200,000",C#; JavaScript; SQL; SQL Server
United States,Sr. Developer; Manager; Expert,11+ years,"$190,000 - $200,000",C++; Java; Python
United States,Engineer; Programmer; Sr. Developer,11+ years,"$190,000 - $200,000",C; C++; iOS; Objective-C
United States,Engineer,6 - 10 years,"$190,000 - $200,000",Android; Java; SQL
United States,,11+ years,"$180,000 - $190,000",CoffeeScript; JavaScript; Ruby; SQL
United States,Developer; Engineer; Programmer; Sr. Developer; Hacker,11+ years,"$190,000 - $200,000",C++; JavaScript; Perl; Python
Canada,Programmer; Sr. Developer,11+ years,Other (please specify),C#; SQL; Visual Basic
United States,Engineer; Programmer; Expert; Hacker,11+ years,"$180,000 - $190,000",AngularJS; C++; Go; Java; JavaScript; Node.js; Perl; Python; Scala; SQL
United States,Expert; Full-stack Developer,11+ years,"$190,000 - $200,000",JavaScript; SharePoint; Visual Basic
United States,Developer; Engineer; Programmer; Sr. Developer; Expert,6 - 10 years,"$190,000 - $200,000",Java; Salesforce; SQL
United States,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,"$180,000 - $190,000",Android; Java
New Zealand,Programmer,1 - 2 years,Other (please specify),C; Java; Python
United States,Sr. Developer,11+ years,"$190,000 - $200,000",Java; MongoDB; Redis; Ruby; Scala
United States,Programmer; Sr. Developer,11+ years,"$180,000 - $190,000","C++; C#; Cloud (AWS, GAE, Azure, etc.)"
United States,Developer; Engineer; Programmer; Sr. Developer,11+ years,"$180,000 - $190,000",C#; Java
United Kingdom,Developer,11+ years,"$180,000 - $190,000",Android; C#; iOS; Objective-C; Windows Phone
United States,Manager; Expert,11+ years,"$180,000 - $190,000",Matlab
United States,Developer; Guru,11+ years,"$190,000 - $200,000","Cloud (AWS, GAE, Azure, etc.); Java"
United States,Developer; Programmer; Sr. Developer,2 - 5 years,"$190,000 - $200,000",C; C++; C#; JavaScript; Python; SQL
United States,Developer; Engineer,2 - 5 years,"$190,000 - $200,000",C++; Go
United States,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,"$180,000 - $190,000","AngularJS; C; C++; C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; Node.js; Redis; Ruby; SQL; SQL Server"
United States,Sr. Developer; Manager; Guru; Full-stack Developer,11+ years,"$190,000 - $200,000",Java; MongoDB; Ruby; SQL; Swift
United States,Engineer; Manager; Rockstar; Ninja; Guru; Expert,11+ years,"$180,000 - $190,000","C++; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; Node.js; SQL"
United States,Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000",Android; AngularJS; Java; JavaScript; SQL
Canada,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,Other (please specify),"Cordova; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; MongoDB; Node.js; Objective-C; ReactJS; Redis"
Canada,Developer; Programmer; Full-stack Developer,2 - 5 years,Other (please specify),JavaScript; Python
United States,Developer; Manager; Full-stack Developer,11+ years,"$180,000 - $190,000",JavaScript; LAMP; PHP; SQL
United States,Developer; Engineer; Programmer,6 - 10 years,"$190,000 - $200,000",C++; Python; SQL
United States,Developer; Engineer; Programmer,2 - 5 years,"$180,000 - $190,000","C++; C#; Cloud (AWS, GAE, Azure, etc.); SQL; SQL Server"
United States,Developer; Engineer; Programmer; Guru; Full-stack Developer; Hacker,11+ years,"$180,000 - $190,000","Arduino / Raspberry Pi; Cloud (AWS, GAE, Azure, etc.); JavaScript; Perl; Python; SQL"
United States,Developer; Engineer; Programmer; Expert,11+ years,"$180,000 - $190,000",C++; Python
United States,Sr. Developer,11+ years,"$180,000 - $190,000",Java; SQL
United Kingdom,Developer; Engineer; Ninja; Guru,11+ years,"$190,000 - $200,000",Android; AngularJS; C; C++; C#; Go; JavaScript; MongoDB; Node.js; ReactJS; Redis; SQL Server
United States,Developer,6 - 10 years,"$180,000 - $190,000",AngularJS; Java; Node.js
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Hacker,11+ years,"$180,000 - $190,000",C++; Java; MongoDB; Perl; Scala; SQL
United States,Developer; Programmer; Sr. Developer; Rockstar; Expert; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,"$180,000 - $190,000",C#; Java; JavaScript; SharePoint
United States,Developer; Engineer; Programmer; Sr. Developer; Manager,6 - 10 years,"$190,000 - $200,000",C
United Kingdom,Sr. Developer; Manager,6 - 10 years,"$180,000 - $190,000",C++; JavaScript
United States,Programmer; Full Stack Overflow Developer,11+ years,Other (please specify),"C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; LAMP; Node.js; Perl; PHP; ReactJS; Redis; Scala; SQL"
United States,Programmer; Sr. Developer; Manager; Expert; Full-stack Developer,11+ years,"$180,000 - $190,000",C#; JavaScript; Python; SQL; SQL Server
United States,Engineer,11+ years,"$180,000 - $190,000",C#; SQL; SQL Server
United States,Engineer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer,11+ years,"$190,000 - $200,000","Arduino / Raspberry Pi; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Node.js; SQL; SQL Server; Visual Basic"
United States,Engineer; Expert,11+ years,"$180,000 - $190,000",C; C++; iOS; Objective-C; Perl; Python; SQL; Swift
United States,Engineer; Sr. Developer; Expert,11+ years,"$190,000 - $200,000",C
United States,Developer,2 - 5 years,,Android; C#; JavaScript; SQL; SQL Server
United States,Developer; Programmer; Sr. Developer; Full-stack Developer,11+ years,,C#; JavaScript; Node.js; SQL; SQL Server
Spain,Developer; Engineer; Programmer; Sr. Developer; Manager,11+ years,,Android; iOS; Java; Swift
Austria,Engineer; Programmer,2 - 5 years,,C++; Matlab; Python
Bulgaria,Developer; Engineer; Programmer; Sr. Developer; Expert,11+ years,,Arduino / Raspberry Pi; C; C++; JavaScript; LAMP; Node.js; PHP; Redis; SQL
Italy,Developer; Engineer; Sr. Developer,6 - 10 years,,Arduino / Raspberry Pi; AngularJS; CoffeeScript; JavaScript; Node.js; PHP; ReactJS
Bangladesh,Developer; Engineer; Programmer,2 - 5 years,,C#
Norway,Engineer,11+ years,,Arduino / Raspberry Pi; C; Python
Canada,Programmer,1 - 2 years,,C++; C#; JavaScript; Python
Denmark,Developer; Programmer; Rockstar,6 - 10 years,,C#; JavaScript; SQL
Germany,Developer; Programmer,1 - 2 years,,C++; C#
Germany,Sr. Developer,11+ years,,JavaScript; LAMP; PHP; SQL
Germany,Developer; Engineer,11+ years,,C; C++; C#; Perl; Python
Hungary,Developer,2 - 5 years,,AngularJS; Java; JavaScript; MongoDB; Redis
India,Developer; Programmer,2 - 5 years,,Java; JavaScript; SQL Server
India,Developer; Programmer; Ninja; Expert; Full-stack Developer,2 - 5 years,,Android; AngularJS; C++; C#; Cordova; JavaScript; PHP; SQL; SQL Server
India,Engineer; Sr. Developer,2 - 5 years,,AngularJS
India,Developer; Engineer; Full-stack Developer,2 - 5 years,,JavaScript; PHP; SQL
Israel,Developer; Engineer; Sr. Developer; Full-stack Developer,11+ years,,C#; JavaScript; SQL; SQL Server
Italy,Developer; Engineer,2 - 5 years,,AngularJS; JavaScript
Poland,Engineer; Sr. Developer,11+ years,,Java; Python; SQL
United Kingdom,Engineer; Programmer; Sr. Developer,11+ years,,C++
United Kingdom,Developer,6 - 10 years,,SQL; SQL Server; Visual Basic
United States,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,,C#; JavaScript; Node.js; SQL Server
United States,Developer; Engineer; Programmer; Ninja,2 - 5 years,,AngularJS; Java; JavaScript; MongoDB; Node.js; Python
Canada,Developer; Full-stack Developer; Hacker,,,
Germany,Developer,2 - 5 years,,Android
Czech Republic,Developer; Programmer,2 - 5 years,,Android; C++; Java; Ruby; Visual Basic
India,Developer,Less than 1 year,,Python
United Kingdom,Developer,6 - 10 years,,Android; Cordova; Java; JavaScript; SQL; SQL Server
Germany,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,,C#; JavaScript
India,Developer; Engineer; Programmer; Sr. Developer,2 - 5 years,,C; C++; Visual Basic
India,Developer; Engineer; Programmer,Less than 1 year,,C; C++; C#; Java; JavaScript
United States,Developer; Engineer; Programmer; Sr. Developer; Ninja; Expert,11+ years,,C#; JavaScript; Node.js
Canada,Sr. Developer,11+ years,,C#; Python; SQL
Canada,Developer; Sr. Developer,11+ years,,JavaScript; PHP; SQL
Germany,Sr. Developer,11+ years,,C++
Germany,Developer; Engineer; Programmer; Sr. Developer,11+ years,,Java; LAMP; R; SQL
Germany,Engineer; Sr. Developer; Hacker,11+ years,,Android; C#; iOS; Java; JavaScript; SQL; Swift
India,Developer; Programmer; Sr. Developer,6 - 10 years,,Android; AngularJS; Cordova; Java; JavaScript; MongoDB; Node.js; PHP; SQL
Korea South,Developer; Engineer,1 - 2 years,,C; C++; C#; Python
Spain,Developer; Engineer; Programmer; Manager,,,C; C++; C#; JavaScript; MongoDB; SQL; SQL Server; Visual Basic
Sri Lanka,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer; Hacker,6 - 10 years,,Java; JavaScript; PHP; SQL
United Kingdom,Developer; Engineer; Programmer; Full-stack Developer,11+ years,,"C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; ReactJS"
United Kingdom,Developer; Full-stack Developer,11+ years,,C#; Cordova; JavaScript; SQL Server
United States,Developer; Engineer; Programmer,6 - 10 years,,Perl; SQL
Taiwan,Programmer,11+ years,,R; Ruby
Spain,Developer; Engineer; Programmer,11+ years,,Haskell; iOS; Java; JavaScript; Python; SQL; Swift
Brazil,Developer; Engineer; Programmer,11+ years,,Android; Java; JavaScript; SQL
France,Developer; Engineer; Programmer; Full-stack Developer; Hacker,2 - 5 years,,Java; JavaScript; Node.js
India,Developer; Engineer; Full-stack Developer,1 - 2 years,,AngularJS; C; C++; Hadoop; Java; JavaScript; MongoDB; Node.js; R; ReactJS
Romania,Developer,2 - 5 years,,Java; SQL
Hong Kong,Developer; Engineer; Programmer; Sr. Developer; Expert,11+ years,,C#; MongoDB
Hungary,Engineer; Programmer,1 - 2 years,,C
India,Engineer,2 - 5 years,,Java
India,Sr. Developer,,,C#; JavaScript; PHP; SQL; SQL Server; Visual Basic
Iran,Developer; Programmer; Manager; Expert; Full-stack Developer,11+ years,,C++; PHP; SQL
Singapore,Developer; Programmer; Sr. Developer; Rockstar; Guru; Expert,11+ years,,Android; C#; Haskell; Java; Matlab; Redis; Scala; SQL; SQL Server
Canada,Developer; Engineer; Programmer; Ninja,2 - 5 years,,Android; Java
Canada,Developer,1 - 2 years,,Arduino / Raspberry Pi; Python
India,Developer; Engineer,Less than 1 year,,Hadoop; Java; JavaScript; SQL; SQL Server; Visual Basic
India,Developer,1 - 2 years,,AngularJS; C#; JavaScript
India,Developer; Programmer; Manager,6 - 10 years,,JavaScript; LAMP; PHP
Indonesia,Developer; Rockstar,1 - 2 years,,JavaScript; Node.js; SQL Server
Netherlands,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,,AngularJS; C#; JavaScript; SQL
Netherlands,Developer; Engineer,11+ years,,Arduino / Raspberry Pi; C; JavaScript; Node.js; PHP; Python; SQL
Netherlands,Developer,1 - 2 years,,JavaScript
Russian Federation,Developer,2 - 5 years,,JavaScript; PHP
South Africa,Engineer,6 - 10 years,,C++; Java; Python; SQL
United Kingdom,Sr. Developer,11+ years,,C#
United Kingdom,Developer; Engineer; Programmer,2 - 5 years,,Java; SQL
Romania,Developer; Engineer; Programmer; Sr. Developer,11+ years,,Java
United Kingdom,Developer; Programmer; Full-stack Developer,2 - 5 years,,C#; JavaScript; SQL Server
India,Developer; Manager; Ninja,11+ years,,AngularJS; C; C++; C#; Cassandra; Hadoop; Java; JavaScript; MongoDB; Node.js; Python; R; Scala; Spark; SQL; SQL Server; Visual Basic
Sweden,Developer; Programmer; Full-stack Developer,2 - 5 years,,"AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; Node.js; Python; SQL Server; Swift"
India,Developer,1 - 2 years,,JavaScript; PHP
Belgium,Sr. Developer; Expert,11+ years,,
Bulgaria,Developer; Engineer; Rockstar,2 - 5 years,,"Arduino / Raspberry Pi; C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; SQL"
Germany,Developer; Programmer; Full-stack Developer,6 - 10 years,,Java; SQL
India,Engineer; Guru,2 - 5 years,,LAMP
India,Developer; Sr. Developer; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,,AngularJS; Java; JavaScript
Russian Federation,Full-stack Developer,6 - 10 years,,
South Africa,Developer; Engineer; Sr. Developer; Full Stack Overflow Developer,11+ years,,Java; Python
United Kingdom,Developer; Programmer,2 - 5 years,,C#; SQL Server; Visual Basic
United Kingdom,Developer; Programmer; Full-stack Developer,6 - 10 years,,AngularJS; Java; JavaScript; MongoDB; Scala; Spark
United States,Developer; Engineer; Programmer; Sr. Developer; Expert; Hacker,11+ years,,Arduino / Raspberry Pi; C; Java; Python; SQL
Denmark,Developer; Engineer; Programmer,11+ years,,C++; Python; Scala
Russian Federation,Engineer; Programmer; Sr. Developer,6 - 10 years,,C#; JavaScript; SQL Server
United Kingdom,Sr. Developer,11+ years,,Android; C++; C#; Java; JavaScript; PHP; SQL
United Kingdom,Sr. Developer; Ninja; Full-stack Developer,6 - 10 years,,C#; JavaScript; SQL; SQL Server
Germany,Developer; Engineer; Programmer; Expert,2 - 5 years,,C#; JavaScript; Ruby; SQL
India,Developer; Engineer; Programmer; Sr. Developer,2 - 5 years,,Java; MongoDB
United Arab Emirates,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer,2 - 5 years,,"AngularJS; Cloud (AWS, GAE, Azure, etc.); JavaScript; LAMP; MongoDB; Node.js; PHP; Redis; SQL; WordPress"
Australia,Developer; Manager; Full-stack Developer,2 - 5 years,,C#; Java; Python
Czech Republic,Developer,6 - 10 years,,C; Java; SQL
Germany,Developer; Rockstar; Ninja; Guru,11+ years,,C++; C#; SQL
Germany,Sr. Developer; Expert; Full-stack Developer,11+ years,,C#; JavaScript; SQL; SQL Server
India,Full-stack Developer,2 - 5 years,,C#; JavaScript; SQL Server
Japan,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,,"C++; Clojure; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Node.js; ReactJS; Scala; SQL"
Russian Federation,Developer; Programmer; Sr. Developer,2 - 5 years,,C++; JavaScript; PHP; Python; SQL; WordPress
Turkey,Developer; Engineer; Programmer,1 - 2 years,,Android; iOS; Java; Objective-C; SQL
United States,Developer; Programmer,6 - 10 years,,Arduino / Raspberry Pi; C; C++; LAMP; Python
United States,,11+ years,,
United States,Developer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,,
Mexico,Developer; Programmer,2 - 5 years,,Android; AngularJS; Java
United States,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,,"C++; C#; Cloud (AWS, GAE, Azure, etc.); Redis"
Germany,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,11+ years,,"AngularJS; C; C++; C#; Cloud (AWS, GAE, Azure, etc.); Hadoop; iOS; Java; JavaScript; Node.js; Python; Salesforce; SQL; SQL Server"
United States,Developer; Programmer; Rockstar,2 - 5 years,,Android; JavaScript; PHP; WordPress
Australia,Developer; Full-stack Developer,11+ years,,Android; AngularJS; C#; Cordova; JavaScript; SQL; SQL Server; Visual Basic
Germany,Sr. Developer,11+ years,,Java; JavaScript
Armenia,Developer; Engineer; Programmer; Sr. Developer; Expert,11+ years,,C#; SQL; SQL Server
India,Developer,1 - 2 years,,Android; Java
India,Developer; Engineer; Programmer,Less than 1 year,,C; Hadoop; Java; Python; Spark; SQL
India,Developer; Engineer; Programmer,2 - 5 years,,AngularJS; C#; JavaScript; SQL Server
India,Sr. Developer,6 - 10 years,,C++
India,Developer; Programmer,1 - 2 years,,C#; SQL Server
India,Sr. Developer; Expert,6 - 10 years,,SQL Server
Japan,Sr. Developer; Full-stack Developer,11+ years,,JavaScript
Poland,Developer; Engineer; Full Stack Overflow Developer,6 - 10 years,,AngularJS; JavaScript; Node.js; WordPress
Russian Federation,Developer; Engineer; Programmer,2 - 5 years,,Java; JavaScript; SQL
Slovakia,Developer; Programmer; Sr. Developer,11+ years,,C++; Java; Scala; Spark; SQL
