country,self_identification,experience_range,salary_range,tech_do
Bahrain,Rockstar,11+ years,"$170,000 - $180,000",Java; Python; Rust; SQL Server
United States,,11+ years,Other (please specify),
Canada,Programmer,11+ years,Other (please specify),JavaScript
Ireland {Republic},Programmer,11+ years,Other (please specify),Arduino / Raspberry Pi; C; Python
United States,Sr. Developer,11+ years,"$160,000 - $170,000",C#; SQL; SQL Server
United Kingdom,Engineer,6 - 10 years,Other (please specify),Perl; SQL Server
China,Guru,Less than 1 year,"$170,000 - $180,000",
India,,,Other (please specify),
Germany,Programmer,2 - 5 years,Other (please specify),
Germany,Developer; Programmer; Hacker,2 - 5 years,Other (please specify),Arduino / Raspberry Pi; Java; PHP
United Kingdom,Developer; Programmer; Sr. Developer; Expert,6 - 10 years,"$190,000 - $200,000",C++; SQL
United States,Developer,Less than 1 year,"$160,000 - $170,000",Objective-C
Mexico,Programmer,11+ years,Other (please specify),JavaScript; PHP; SQL
United States,Developer; Engineer; Programmer,11+ years,"$160,000 - $170,000","C#; Cloud (AWS, GAE, Azure, etc.); R; SQL; SQL Server; Windows Phone"
United States,Sr. Developer,11+ years,"$180,000 - $190,000",C++; C#; F#
United States,Developer; Engineer; Programmer; Sr. Developer; Expert,11+ years,"$160,000 - $170,000",C; C++; PHP
India,Developer; Programmer; Manager; Rockstar; Ninja; Hacker,6 - 10 years,Other (please specify),Android; Arduino / Raspberry Pi; C++; Matlab; Python; Visual Basic; Windows Phone
Netherlands,Developer,1 - 2 years,Other (please specify),C#; Python; SQL; Visual Basic
United States,,2 - 5 years,Other (please specify),R
United States,Developer; Engineer,6 - 10 years,Other (please specify),Go; Haskell
Korea South,Developer; Programmer,2 - 5 years,Other (please specify),Android; C; C++; C#; Java; JavaScript; Node.js; PHP; SQL; Visual Basic
Germany,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),C++; C#; Java
Croatia,Programmer,Less than 1 year,Other (please specify),
,Rockstar,11+ years,"$190,000 - $200,000",Ruby
France,,1 - 2 years,Other (please specify),C; C#
Germany,Developer; Programmer,2 - 5 years,Other (please specify),C; Java; JavaScript; Python; SQL; WordPress
United Kingdom,Programmer,1 - 2 years,Other (please specify),Android
Slovenia,Programmer,2 - 5 years,Other (please specify),C; Java; R; Scala
Canada,Programmer,1 - 2 years,Other (please specify),Java; Python
United States,Developer; Engineer; Full-stack Developer,11+ years,Other (please specify),AngularJS; JavaScript; LAMP; Matlab; MongoDB; Node.js; Python; Redis; Spark; SQL
United States,Developer; Programmer,1 - 2 years,Other (please specify),Java; PHP; SQL
United Kingdom,Programmer,1 - 2 years,Other (please specify),Java; Python
Germany,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),C++; C#; Java
United Kingdom,Developer; Programmer; Ninja,1 - 2 years,Other (please specify),Java; JavaScript; PHP; Python; SQL
Sweden,Ninja,2 - 5 years,Other (please specify),C#; Java; SQL Server
United States,Developer; Engineer; Programmer; Hacker,Less than 1 year,Other (please specify),C; C++; Ruby
Canada,Developer,1 - 2 years,Other (please specify),Android; Java; Objective-C
United Kingdom,,Less than 1 year,Other (please specify),
United States,Developer; Hacker,2 - 5 years,Other (please specify),C; iOS; Java; PHP; Python; SQL; Swift
Malaysia,Programmer,2 - 5 years,Other (please specify),
United States,Developer; Programmer,1 - 2 years,Other (please specify),AngularJS; JavaScript; Python
Serbia,Developer; Programmer; Rockstar; Ninja; Full-stack Developer,1 - 2 years,Other (please specify),Java; JavaScript; SQL
Ukraine,Developer,1 - 2 years,Other (please specify),Android; Java
Australia,Programmer; Ninja,Less than 1 year,Other (please specify),Arduino / Raspberry Pi; Python
Morocco,Developer; Engineer; Programmer,1 - 2 years,Other (please specify),Android; Java; JavaScript; PHP; SQL
Germany,Developer; Programmer,1 - 2 years,Other (please specify),Android; C#; Java; JavaScript; PHP; Ruby; SQL
France,Developer; Programmer; Manager,1 - 2 years,Other (please specify),Android; C; C++; C#; Java; JavaScript; PHP; SQL; WordPress
Poland,Programmer,Less than 1 year,Other (please specify),JavaScript; Python; R; SQL
Ireland {Republic},Developer; Engineer; Programmer,2 - 5 years,Other (please specify),"Android; Arduino / Raspberry Pi; C++; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Windows Phone"
India,Developer,1 - 2 years,Other (please specify),C; SQL
United Kingdom,Developer; Programmer; Rockstar; Ninja; Hacker,2 - 5 years,Other (please specify),"Android; C; C++; C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; PHP; Python; SQL; SQL Server; Visual Basic; Windows Phone"
United Kingdom,Developer; Programmer; Full-stack Developer; Hacker,6 - 10 years,Other (please specify),Java; JavaScript; Python
Canada,Developer; Engineer; Programmer,1 - 2 years,Other (please specify),Arduino / Raspberry Pi; C; Java; JavaScript; Matlab; Node.js; Python; SQL
Germany,Developer; Programmer,Less than 1 year,Other (please specify),C++
United States,Developer; Engineer; Programmer; Manager; Full-stack Developer,6 - 10 years,Other (please specify),C++; Java; MongoDB; PHP; Redis; SQL
Brazil,Developer; Engineer; Programmer; Rockstar; Expert; Hacker,2 - 5 years,Other (please specify),"C; C++; Cloud (AWS, GAE, Azure, etc.); MongoDB; Python"
Germany,Developer; Engineer; Programmer; Ninja,2 - 5 years,Other (please specify),Java; JavaScript; PHP; Ruby; SQL
India,Programmer,1 - 2 years,Other (please specify),C; C++; Go; JavaScript; Python; SQL
United States,Developer; Programmer,2 - 5 years,Other (please specify),Java
United States,Engineer; Programmer,2 - 5 years,Other (please specify),Android; Arduino / Raspberry Pi; Python
Denmark,Engineer; Programmer; Ninja,2 - 5 years,Other (please specify),Matlab; Python; SQL
Greece,Engineer,2 - 5 years,Other (please specify),C; C++; Matlab; Python; Scala
United States,Developer; Programmer; Manager; Full-stack Developer; Hacker,6 - 10 years,Other (please specify),Arduino / Raspberry Pi; C; C++; C#; iOS; Java; JavaScript; Matlab; Objective-C; Python; Swift
Portugal,Developer; Ninja,Less than 1 year,Other (please specify),Arduino / Raspberry Pi; C; Python
United States,Programmer,2 - 5 years,Other (please specify),iOS; JavaScript; Swift; WordPress
Sweden,Programmer,2 - 5 years,Other (please specify),C#; Java; SQL; SQL Server
Sweden,Developer; Programmer; Full-stack Developer,Less than 1 year,Other (please specify),Android; AngularJS; Java; JavaScript; Node.js; PHP; ReactJS; SQL
Czech Republic,Developer; Programmer; Rockstar,6 - 10 years,Other (please specify),Android; C; C#; Java; JavaScript; Matlab; Node.js; PHP; SQL
Italy,,1 - 2 years,Other (please specify),Android; JavaScript
Belgium,Developer; Programmer,1 - 2 years,Other (please specify),JavaScript; Node.js; PHP; SQL
Poland,Developer; Programmer,2 - 5 years,Other (please specify),Go; JavaScript
South Africa,Developer; Programmer,1 - 2 years,Other (please specify),C++; SQL
Germany,Programmer; Ninja; Guru,6 - 10 years,Other (please specify),C; C#; Python
Mexico,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),C; C++; C#; iOS; Java; JavaScript; Objective-C; PHP; Python; SQL; Swift
India,Developer; Engineer; Programmer,6 - 10 years,Other (please specify),Arduino / Raspberry Pi; C; C++; JavaScript; Node.js; PHP; SQL
Poland,Developer; Programmer,2 - 5 years,Other (please specify),C++; PHP; SQL
Italy,Developer; Hacker,1 - 2 years,Other (please specify),C; iOS; JavaScript; Python; Swift
United States,Developer; Programmer; Hacker,1 - 2 years,Other (please specify),Java; Python
South Africa,Developer; Programmer,6 - 10 years,Other (please specify),C++; Java; Python
Netherlands,Developer; Engineer; Programmer,11+ years,Other (please specify),Objective-C
Germany,Programmer,6 - 10 years,Other (please specify),Android; Arduino / Raspberry Pi; C#; Java; JavaScript; PHP; SQL
United States,Developer; Programmer; Hacker,6 - 10 years,Other (please specify),"Android; Arduino / Raspberry Pi; C; C#; Cloud (AWS, GAE, Azure, etc.); F#; Go; Java; JavaScript; Python; Swift; Windows Phone; WordPress"
Belgium,Engineer,2 - 5 years,Other (please specify),C; C#; Java; Python; SQL
India,Engineer,2 - 5 years,Other (please specify),Android; C; C++; Java; PHP; Python; SQL; SQL Server
United States,Developer; Engineer; Ninja,2 - 5 years,Other (please specify),Arduino / Raspberry Pi; C; C++; iOS; Java; Matlab; Objective-C; Swift
Germany,Ninja; Hacker,1 - 2 years,Other (please specify),C; Java; JavaScript; PHP; SQL
Hong Kong,Programmer,Less than 1 year,Other (please specify),Java; Swift
Sweden,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),C; C++; Java; Python; Rust
United Kingdom,Developer; Engineer; Programmer,1 - 2 years,Other (please specify),C; C++; Java; JavaScript; SQL
United States,Developer; Programmer,2 - 5 years,Other (please specify),Java; JavaScript; PHP
United States,Developer; Programmer,2 - 5 years,Other (please specify),Android; C++; Java
Canada,Developer,2 - 5 years,Other (please specify),Java
Poland,Developer; Engineer,1 - 2 years,Other (please specify),iOS; JavaScript; Node.js; ReactJS; Swift
Belgium,Programmer,2 - 5 years,Other (please specify),Arduino / Raspberry Pi; AngularJS; JavaScript; Python; Rust
France,Developer; Engineer; Programmer; Full-stack Developer,6 - 10 years,Other (please specify),Android; Arduino / Raspberry Pi; C++; Java; JavaScript; LAMP; Node.js; PHP; Python; ReactJS; SQL
Netherlands,Developer; Programmer,1 - 2 years,Other (please specify),C#; PHP; SQL
Romania,Developer,2 - 5 years,Other (please specify),C++; Java; Scala
United Kingdom,Developer; Engineer; Programmer; Ninja,2 - 5 years,Other (please specify),Java; JavaScript; PHP; SQL; WordPress
United Kingdom,Developer; Programmer; Manager; Hacker,2 - 5 years,Other (please specify),C; C#; Java; JavaScript; Node.js; SharePoint
United States,Developer; Programmer; Full-stack Developer; Hacker,6 - 10 years,Other (please specify),C++; C#; JavaScript; MongoDB; Node.js; Python
India,Engineer; Programmer; Full-stack Developer,1 - 2 years,Other (please specify),Android; Arduino / Raspberry Pi; AngularJS; MongoDB; Python; R; Ruby; Scala; SQL
Netherlands,Developer; Programmer; Ninja,1 - 2 years,Other (please specify),Java; SQL
Slovakia,Hacker,6 - 10 years,Other (please specify),Arduino / Raspberry Pi; C; C++; Python; SQL
United Kingdom,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),C; C++; Java; SQL
India,Developer; Engineer; Programmer; Hacker,2 - 5 years,Other (please specify),C; C++; SQL
Czech Republic,Developer; Programmer,2 - 5 years,Other (please specify),Android; Arduino / Raspberry Pi; C#; Cordova; iOS; Java; JavaScript; MongoDB; Node.js; SQL
Portugal,Developer; Programmer,1 - 2 years,Other (please specify),C; Java; SQL
India,Developer; Engineer; Programmer; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,Less than 1 year,Other (please specify),"Android; Arduino / Raspberry Pi; AngularJS; C; C++; C#; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; LAMP; Node.js; PHP; Python; SQL; SQL Server; Visual Basic; Windows Phone; WordPress"
Ukraine,Developer; Programmer,2 - 5 years,Other (please specify),Android; C; C++; Cordova; JavaScript; Node.js; SQL; SQL Server
United Kingdom,Programmer; Ninja; Guru; Hacker,2 - 5 years,Other (please specify),C; Java; Python
Iran,Developer; Programmer,2 - 5 years,Other (please specify),Android; C++; Java; JavaScript; LAMP; PHP; SQL
Israel,Developer; Programmer,1 - 2 years,Other (please specify),C++; C#
United States,Developer; Programmer,1 - 2 years,Other (please specify),Python
Portugal,Developer,1 - 2 years,Other (please specify),Java; PHP
India,Programmer,2 - 5 years,Other (please specify),C; JavaScript; Python
United States,Developer; Programmer,2 - 5 years,Other (please specify),C; C++; C#; F#; Java; JavaScript; Perl; Python; R; Visual Basic
France,Developer; Programmer,1 - 2 years,Other (please specify),AngularJS; C; C++; CoffeeScript; Cordova; JavaScript; LAMP; MongoDB; Node.js; PHP; Python; SQL; WordPress
India,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),Android; C; Java; JavaScript; R; SQL
Netherlands,Developer; Programmer,1 - 2 years,Other (please specify),Android; AngularJS; C++; Java; JavaScript; Node.js; PHP; ReactJS; Ruby; SQL; SQL Server; Swift; WordPress
Philippines,Developer,Less than 1 year,Other (please specify),C#; PHP
Portugal,Engineer; Programmer,1 - 2 years,Other (please specify),C; Java; Visual Basic
India,Developer; Guru,2 - 5 years,Other (please specify),Android; Java; JavaScript; PHP; SQL Server
United Kingdom,Programmer,1 - 2 years,Other (please specify),AngularJS; JavaScript; MongoDB; Node.js; Python; Swift
United States,Developer; Programmer; Ninja; Hacker,2 - 5 years,Other (please specify),Android; Arduino / Raspberry Pi; iOS; JavaScript; Objective-C; PHP; Python; WordPress
Germany,Programmer,Less than 1 year,Other (please specify),Python
Germany,Rockstar; Ninja; Guru; Expert; Hacker,11+ years,Other (please specify),Android; Python
Slovakia,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),AngularJS; Java; JavaScript; PHP
France,Developer; Engineer; Programmer,2 - 5 years,Other (please specify),Java; JavaScript; MongoDB; Node.js; SQL
Germany,Engineer; Programmer; Full-stack Developer,1 - 2 years,Other (please specify),AngularJS; Java; JavaScript; Node.js
United States,Developer; Engineer; Full-stack Developer,2 - 5 years,Other (please specify),Java; JavaScript; MongoDB; Node.js; Redis
Spain,Developer,1 - 2 years,Other (please specify),Android; C++; C#; Java; JavaScript
Canada,,1 - 2 years,Other (please specify),Java
Canada,Programmer; Expert,6 - 10 years,Other (please specify),C; C++; Java; Visual Basic
United Kingdom,Hacker,2 - 5 years,Other (please specify),C; Python
Germany,Programmer,1 - 2 years,Other (please specify),Haskell; Java
United States,Developer; Programmer; Ninja,2 - 5 years,Other (please specify),Android; Java; JavaScript; LAMP; PHP; Python; WordPress
