country,self_identification,experience_range,salary_range,tech_do
,Manager,Less than 1 year,Other (please specify),Python
India,Developer,1 - 2 years,Other (please specify),C#
United States,Developer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,"$190,000 - $200,000",Android; iOS; Java; JavaScript; LAMP; Objective-C; PHP; SQL; Swift
United States,Developer; Engineer; Programmer,2 - 5 years,"$170,000 - $180,000",C; C++; Java
United States,Engineer; Sr. Developer,11+ years,"$170,000 - $180,000",Go; Haskell; Swift
United States,Engineer; Expert,6 - 10 years,"$170,000 - $180,000",Android; iOS; Java; JavaScript; Node.js; Objective-C; ReactJS
India,Developer; Programmer,11+ years,Other (please specify),C#; JavaScript; SQL Server
United States,Programmer; Full-stack Developer,11+ years,"$170,000 - $180,000",C#; JavaScript
United States,Developer; Programmer; Sr. Developer,11+ years,"$170,000 - $180,000",JavaScript; SQL
United States,Developer; Engineer,6 - 10 years,"$170,000 - $180,000",C#; Python
United States,Programmer; Hacker,11+ years,"$170,000 - $180,000",Python; Visual Basic
South Africa,Developer,6 - 10 years,"$170,000 - $180,000",JavaScript; PHP; WordPress
United States,Developer; Engineer; Programmer; Sr. Developer; Hacker,6 - 10 years,"$170,000 - $180,000",Java; Scala
Switzerland,Sr. Developer; Manager; Expert,11+ years,"$170,000 - $180,000",Java
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert,11+ years,"$190,000 - $200,000","AngularJS; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; JavaScript; MongoDB; Python; R; Scala; Spark; SQL"
United States,Developer; Engineer; Programmer,6 - 10 years,"$180,000 - $190,000",Android; C; C++; C#; iOS; Java; JavaScript; Node.js; Objective-C; Python; ReactJS; SQL; Swift
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Expert; Full-stack Developer,2 - 5 years,"$170,000 - $180,000",C#; JavaScript; SQL; SQL Server; Visual Basic
United States,,6 - 10 years,"$180,000 - $190,000",Android; C++; Java; JavaScript; Python; Scala
United States,Engineer; Programmer; Sr. Developer; Manager,6 - 10 years,"$170,000 - $180,000",Cassandra; Hadoop; Java; Scala; Spark
United Kingdom,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000",Java; Perl; Python; Ruby
Ukraine,Rockstar,1 - 2 years,Other (please specify),Java
United States,Sr. Developer; Rockstar,6 - 10 years,"$190,000 - $200,000",C++; CoffeeScript; JavaScript; Node.js
India,Developer; Engineer; Programmer,1 - 2 years,"$180,000 - $190,000",Android; C; C++; PHP; Python; Spark; SQL; SQL Server
United States,Developer; Engineer; Sr. Developer; Full-stack Developer,2 - 5 years,"$170,000 - $180,000","AngularJS; Cloud (AWS, GAE, Azure, etc.); iOS; Java; JavaScript; Node.js; Perl; Ruby; SQL"
United States,Expert; Full-stack Developer,11+ years,"$170,000 - $180,000",C; C++; C#; JavaScript; Matlab; Python; R; Spark
United States,Manager,11+ years,"$170,000 - $180,000","Cloud (AWS, GAE, Azure, etc.); iOS; SQL"
United States,Developer; Manager; Guru,11+ years,"$170,000 - $180,000",C++; C#; JavaScript; SQL; SQL Server
United States,Programmer; Sr. Developer,6 - 10 years,"$170,000 - $180,000",C++; C#; Ruby
