country,self_identification,experience_range,salary_range,tech_do
United States,Engineer; Programmer; Sr. Developer; Expert; Hacker,11+ years,"$180,000 - $190,000",C; C++; Python
India,Developer,Less than 1 year,Other (please specify),Android
Mongolia,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,6 - 10 years,"$190,000 - $200,000",Cassandra; Go; Hadoop; Java; MongoDB; Python; R; Scala; Spark
Australia,Developer; Manager,11+ years,"$180,000 - $190,000",Python; Scala; SQL
Denmark,,11+ years,"$170,000 - $180,000",Python
United States,Engineer,11+ years,"$180,000 - $190,000",Java
Germany,Programmer; Hacker,11+ years,Other (please specify),SQL; SQL Server; Visual Basic
Germany,Developer; Engineer; Programmer; Expert; Hacker,11+ years,"$170,000 - $180,000",C++; F#; Go; Java; Python
United States,Developer,6 - 10 years,"$170,000 - $180,000",Android; iOS; Java; Windows Phone
United States,Sr. Developer; Manager,11+ years,"$190,000 - $200,000",Java
United States,Developer; Engineer; Programmer,11+ years,"$180,000 - $190,000",C; C++; Python
United States,Engineer,6 - 10 years,"$180,000 - $190,000","C; C++; C#; Cloud (AWS, GAE, Azure, etc.); F#; Java; JavaScript; Perl; Python; ReactJS; Ruby; SharePoint; SQL; SQL Server; Visual Basic; WordPress"
United States,Developer; Engineer; Sr. Developer,6 - 10 years,"$170,000 - $180,000",C#; Java; MongoDB; SQL Server
United Kingdom,,6 - 10 years,"$170,000 - $180,000",Salesforce; WordPress
United States,Developer; Programmer; Sr. Developer; Hacker,11+ years,"$170,000 - $180,000",Arduino / Raspberry Pi; AngularJS; JavaScript; Node.js; Python; R; Salesforce; WordPress
United States,Engineer,6 - 10 years,"$190,000 - $200,000",Hadoop; Java; Python; Ruby; Scala; Spark
France,Developer; Programmer,Less than 1 year,Unemployed,Android; C; Java; PHP; SQL
Australia,Developer; Engineer; Rockstar,6 - 10 years,"$190,000 - $200,000",C#; F#
United States,Engineer,11+ years,"$170,000 - $180,000",Arduino / Raspberry Pi; C#; SQL; SQL Server
United Kingdom,Developer; Programmer; Full-stack Developer,11+ years,"$190,000 - $200,000",JavaScript; PHP; Visual Basic
United States,Manager,11+ years,"$180,000 - $190,000","Cloud (AWS, GAE, Azure, etc.); Python"
United States,Programmer; Sr. Developer,11+ years,"$170,000 - $180,000",Scala
United States,Developer; Engineer; Programmer; Sr. Developer; Manager,11+ years,"$190,000 - $200,000",C++; C#; Objective-C
Iran,Developer; Engineer; Programmer; Sr. Developer; Manager; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,Other (please specify),C#; JavaScript; SQL; SQL Server; Visual Basic
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Full-stack Developer,11+ years,"$180,000 - $190,000",C#; JavaScript; Node.js; SQL Server
Brazil,Programmer,Less than 1 year,Other (please specify),C#; JavaScript; SQL
Vietnam,Developer; Engineer; Programmer; Sr. Developer; Manager; Full-stack Developer,11+ years,"$180,000 - $190,000",AngularJS; JavaScript; MongoDB; Python; Redis; Ruby; SQL
United States,Engineer; Programmer; Manager; Hacker,6 - 10 years,"$170,000 - $180,000",Android; C; C++; iOS; Java; JavaScript; Objective-C; Python; Ruby; Swift
United States,Programmer; Manager,11+ years,"$190,000 - $200,000",C++; C#; JavaScript
Turkey,Developer,2 - 5 years,Other (please specify),"Arduino / Raspberry Pi; AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; MongoDB; Node.js; PHP; Python; SQL; SQL Server; Swift"
United States,Developer; Engineer; Programmer; Sr. Developer; Hacker,11+ years,"$170,000 - $180,000",JavaScript; Python
United States,Engineer; Programmer; Sr. Developer,11+ years,"$170,000 - $180,000","C++; Cloud (AWS, GAE, Azure, etc.); Go; Java; Python; Scala"
United States,Developer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000",C#; JavaScript; SQL
United States,Sr. Developer; Expert,11+ years,"$190,000 - $200,000",Java; JavaScript; MongoDB; SQL
United States,Developer; Engineer; Programmer; Sr. Developer; Expert; Hacker,11+ years,"$170,000 - $180,000",Android; Java; Python
United States,Developer; Engineer; Programmer; Sr. Developer; Guru; Expert,11+ years,"$170,000 - $180,000",C; C++; Python; SQL
United States,Developer,11+ years,"$190,000 - $200,000",Android; AngularJS; Dart; Java
United States,Developer; Engineer; Sr. Developer; Full-stack Developer,6 - 10 years,"$170,000 - $180,000",C#; CoffeeScript; JavaScript; SQL; SQL Server
United States,Programmer; Hacker,11+ years,"$170,000 - $180,000",Perl; Python
United States,Engineer,11+ years,"$170,000 - $180,000","AngularJS; Cloud (AWS, GAE, Azure, etc.); Java; Python; Scala"
Bulgaria,Engineer; Sr. Developer,11+ years,"$190,000 - $200,000",Android; iOS; MongoDB
United States,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,"$190,000 - $200,000",AngularJS; C++; JavaScript; LAMP; Node.js; PHP; ReactJS; Redis; SQL
Venezuela,Engineer; Programmer; Ninja,6 - 10 years,Other (please specify),JavaScript; PHP; SQL
Afghanistan,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Ninja; Hacker,11+ years,Other (please specify),Java; PHP
United States,Developer; Engineer; Programmer; Sr. Developer; Ninja,11+ years,"$190,000 - $200,000","Cassandra; Cloud (AWS, GAE, Azure, etc.); ReactJS; Redis; Scala; Spark"
United States,Developer; Engineer; Programmer; Sr. Developer; Expert,6 - 10 years,"$170,000 - $180,000",Android; Go; iOS; Ruby
United States,Developer,11+ years,"$170,000 - $180,000",Go; Python
United States,Sr. Developer,11+ years,"$180,000 - $190,000",Android; C++; iOS; Java; JavaScript; Node.js; Objective-C; PHP; Swift
United States,Sr. Developer; Guru; Expert; Full-stack Developer,11+ years,"$180,000 - $190,000","Cloud (AWS, GAE, Azure, etc.); LAMP; PHP; Python; Scala; Spark; SQL"
United States,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer; Hacker,11+ years,"$170,000 - $180,000","Cassandra; Clojure; Cloud (AWS, GAE, Azure, etc.); Java; Python; Redis"
United States,Developer,11+ years,"$170,000 - $180,000",JavaScript; Python; Ruby; SQL
United States,Sr. Developer; Guru,11+ years,"$170,000 - $180,000","C#; Cloud (AWS, GAE, Azure, etc.); Visual Basic"
United Kingdom,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer; Hacker,11+ years,"$170,000 - $180,000",AngularJS; Go; Java; JavaScript; LAMP; Node.js; PHP; ReactJS; Redis; WordPress
United States,Developer; Engineer,11+ years,"$170,000 - $180,000",C++; Python
United States,Developer; Engineer; Programmer; Sr. Developer; Hacker,11+ years,"$180,000 - $190,000","Cloud (AWS, GAE, Azure, etc.); Go; iOS; JavaScript; Node.js; Objective-C; PHP; Python; Redis; Ruby; Swift"
United States,Engineer; Full-stack Developer; Full Stack Overflow Developer,2 - 5 years,"$170,000 - $180,000",C++; Hadoop; Java; Matlab; MongoDB; Python; SQL
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Ninja; Expert,11+ years,"$180,000 - $190,000",Scala; SQL; SQL Server
United States,Developer; Engineer; Programmer; Manager; Ninja; Full-stack Developer; Full Stack Overflow Developer; Hacker,1 - 2 years,Other (please specify),Arduino / Raspberry Pi; AngularJS; JavaScript; Python; SQL
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Guru; Expert,11+ years,"$190,000 - $200,000",iOS; Objective-C; Swift
United States,Sr. Developer; Manager,2 - 5 years,"$170,000 - $180,000",AngularJS; C#; JavaScript; Matlab; Python; SQL Server
India,Developer; Engineer; Programmer,1 - 2 years,"$180,000 - $190,000",C; C++; Java; JavaScript; SQL; SQL Server
United States,Engineer; Hacker,11+ years,"$190,000 - $200,000","Arduino / Raspberry Pi; Cloud (AWS, GAE, Azure, etc.); Python"
Australia,Developer; Engineer; Programmer,11+ years,"$190,000 - $200,000",C; Perl; PHP; Python
United States,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,"$180,000 - $190,000",AngularJS; Java; JavaScript; Python; Spark
United States,Engineer; Expert,11+ years,"$170,000 - $180,000",Arduino / Raspberry Pi; C; C++; Java; Python
United States,Engineer; Hacker,6 - 10 years,"$190,000 - $200,000","Android; Cloud (AWS, GAE, Azure, etc.); Go; Perl; Ruby"
United Kingdom,Engineer; Manager,6 - 10 years,"$170,000 - $180,000","Cloud (AWS, GAE, Azure, etc.); LAMP"
Oman,Sr. Developer,11+ years,"$170,000 - $180,000",C; C++; Hadoop; LAMP; MongoDB; Perl; Python; Spark; SQL
United States,Engineer; Manager; Expert; Full-stack Developer,11+ years,"$170,000 - $180,000","AngularJS; Cloud (AWS, GAE, Azure, etc.); JavaScript; Ruby; SQL; WordPress"
United States,Developer; Engineer; Manager; Full-stack Developer,6 - 10 years,"$190,000 - $200,000",AngularJS; Java; JavaScript; Node.js; Python; ReactJS; Ruby; SQL
Korea South,Engineer; Programmer,2 - 5 years,Other (please specify),C++; Hadoop; Java; Matlab
United States,Developer; Engineer; Sr. Developer; Rockstar; Guru; Expert; Full-stack Developer; Hacker,11+ years,"$190,000 - $200,000",C; iOS; Java; LAMP; Objective-C; Perl; ReactJS; Swift
United States,Developer; Programmer,11+ years,"$170,000 - $180,000",Node.js; Python
United States,Developer; Engineer; Programmer; Expert; Full-stack Developer,11+ years,"$190,000 - $200,000",Android; C; iOS; Java; JavaScript; Objective-C; ReactJS; Salesforce
United States,Manager,11+ years,"$180,000 - $190,000","C#; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; MongoDB; Objective-C; Redis; SQL; SQL Server"
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Full-stack Developer; Hacker,6 - 10 years,"$170,000 - $180,000",Hadoop; Java; JavaScript; Python; Scala; Spark; SQL
United States,Developer; Engineer; Programmer; Full Stack Overflow Developer,11+ years,"$170,000 - $180,000",C++
United States,Developer; Engineer; Full-stack Developer,6 - 10 years,"$180,000 - $190,000",C; Python
United States,Sr. Developer,11+ years,"$180,000 - $190,000",C++; C#; iOS
Canada,Sr. Developer; Manager,6 - 10 years,"$170,000 - $180,000",C#; Java; Python
United States,Developer; Engineer; Programmer; Sr. Developer,11+ years,"$170,000 - $180,000","Cloud (AWS, GAE, Azure, etc.); Java; Scala"
United States,Programmer; Sr. Developer; Full-stack Developer,11+ years,"$180,000 - $190,000",C; C++; Java; JavaScript; LAMP; Python
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,11+ years,"$180,000 - $190,000","AngularJS; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; JavaScript; MongoDB; Python; R; Scala; Spark; SQL"
United States,Developer; Engineer; Programmer; Sr. Developer; Expert,6 - 10 years,"$180,000 - $190,000","Cloud (AWS, GAE, Azure, etc.); Java; Scala; Spark"
Germany,,11+ years,"$170,000 - $180,000",Python; R
United States,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,"$190,000 - $200,000",AngularJS; Java; JavaScript
United States,Engineer; Sr. Developer; Rockstar; Ninja; Guru; Full-stack Developer,11+ years,"$170,000 - $180,000",AngularJS; C; JavaScript; Python; Redis; SQL
United States,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer; Hacker,11+ years,"$180,000 - $190,000",AngularJS; JavaScript; Python; Ruby; SQL
United States,Programmer; Sr. Developer; Expert,11+ years,"$190,000 - $200,000",Perl; Ruby
United States,Developer; Engineer; Programmer; Sr. Developer,11+ years,"$170,000 - $180,000",iOS; Java
United States,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Expert; Full-stack Developer; Full Stack Overflow Developer; Hacker,11+ years,"$170,000 - $180,000","Cloud (AWS, GAE, Azure, etc.); Go; JavaScript; Node.js; Python; Redis; SQL"
,Sr. Developer,2 - 5 years,Unemployed,Java
United States,Developer; Engineer; Sr. Developer; Rockstar; Expert; Hacker,6 - 10 years,"$190,000 - $200,000",Android; AngularJS; C++; C#; iOS; Java; Matlab; SQL Server
United States,Developer; Engineer,11+ years,"$170,000 - $180,000",Java; Ruby
United Kingdom,Manager,6 - 10 years,"$170,000 - $180,000",C#; Python; SQL; SQL Server; Visual Basic
United States,Sr. Developer; Rockstar,11+ years,"$180,000 - $190,000",Hadoop; Java; JavaScript; Python; Scala; Spark
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Expert,11+ years,"$180,000 - $190,000",Java; JavaScript; Node.js; ReactJS; SQL
United States,Developer; Engineer; Programmer; Full Stack Overflow Developer,11+ years,"$170,000 - $180,000",C#; iOS; Objective-C; Python; Swift
United States,Engineer; Sr. Developer,11+ years,"$190,000 - $200,000","Clojure; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; PHP; Python; Ruby; Rust"
United States,Engineer; Sr. Developer,11+ years,"$190,000 - $200,000",Android; Java
United States,Developer; Programmer; Sr. Developer,11+ years,"$190,000 - $200,000",JavaScript
United States,Manager,11+ years,"$180,000 - $190,000",
United States,Developer; Programmer; Sr. Developer,11+ years,"$170,000 - $180,000","Cloud (AWS, GAE, Azure, etc.); iOS; MongoDB; Objective-C; PHP; Python; SQL; Swift"
United States,Developer; Programmer; Sr. Developer; Manager; Expert,11+ years,"$170,000 - $180,000",Java; JavaScript; LAMP; Matlab; Perl; Python; SQL
United States,Developer; Engineer; Programmer,2 - 5 years,"$170,000 - $180,000",C++; Java; SQL
France,Developer; Engineer; Manager; Hacker,1 - 2 years,"$170,000 - $180,000",Android; C#; Cordova; iOS; Java; JavaScript; Node.js; Objective-C; Python; Ruby; SQL; Swift; Windows Phone
United Kingdom,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert; Full-stack Developer,11+ years,"$180,000 - $190,000",C; C++; JavaScript; Objective-C; Python; SQL
United States,Sr. Developer; Full-stack Developer,11+ years,"$170,000 - $180,000","C#; Cloud (AWS, GAE, Azure, etc.); JavaScript; ReactJS; SQL; SQL Server; Visual Basic"
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Guru; Expert; Full-stack Developer,11+ years,"$180,000 - $190,000","AngularJS; C#; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; JavaScript; Python"
United States,Developer; Engineer; Programmer; Ninja; Full-stack Developer,2 - 5 years,"$180,000 - $190,000",Python
Dominican Republic,,Less than 1 year,Other (please specify),C#; SQL Server
United States,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer,11+ years,"$170,000 - $180,000",C; C++; C#; JavaScript; SQL; SQL Server; Visual Basic
United States,Engineer; Programmer; Sr. Developer,6 - 10 years,"$180,000 - $190,000",C++; JavaScript; Python
United States,,11+ years,"$190,000 - $200,000",Ruby
United States,Developer; Engineer; Programmer; Full-stack Developer,2 - 5 years,"$190,000 - $200,000",C#; Python
United States,Developer; Engineer; Programmer; Sr. Developer,11+ years,"$180,000 - $190,000",C++; iOS; Node.js; Objective-C; Swift
United States,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Full-stack Developer,6 - 10 years,"$190,000 - $200,000",C#; SQL
United States,Sr. Developer; Guru,11+ years,"$190,000 - $200,000",C++; Python
United States,Developer; Programmer; Sr. Developer; Manager; Full-stack Developer,11+ years,"$180,000 - $190,000",C++; JavaScript; Node.js; Python; Ruby; SQL
United States,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,11+ years,"$170,000 - $180,000","Cloud (AWS, GAE, Azure, etc.); LAMP; Python"
United States,Developer; Programmer; Sr. Developer,6 - 10 years,"$180,000 - $190,000","C#; Cloud (AWS, GAE, Azure, etc.); SQL; SQL Server"
United States,Developer; Sr. Developer; Expert,11+ years,"$170,000 - $180,000",Android; C; C++; iOS; Objective-C; Python
United States,Developer; Engineer; Programmer; Sr. Developer,2 - 5 years,"$170,000 - $180,000",C++; iOS; Node.js; Objective-C; Redis; Ruby; Swift
United States,Programmer; Sr. Developer; Manager,6 - 10 years,"$190,000 - $200,000",C#; Redis; SQL
United States,Engineer; Sr. Developer; Expert,11+ years,"$170,000 - $180,000",Arduino / Raspberry Pi; C; Node.js; Python; Ruby
United States,Sr. Developer; Expert; Full-stack Developer,11+ years,"$170,000 - $180,000",CoffeeScript; Java; JavaScript; ReactJS; Ruby
Switzerland,Developer; Engineer; Programmer; Sr. Developer; Manager; Expert,11+ years,"$180,000 - $190,000",Android; C++; Dart; Java; JavaScript; Objective-C
,Developer; Engineer; Sr. Developer; Expert,11+ years,"$170,000 - $180,000",C++; Python
United States,,11+ years,"$190,000 - $200,000","C#; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; JavaScript; MongoDB; Python; R; Redis; Spark; SQL; SQL Server; WordPress"
Ireland {Republic},Engineer; Sr. Developer,11+ years,"$190,000 - $200,000",C; C++; C#; Python; R
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Full-stack Developer,11+ years,"$170,000 - $180,000","AngularJS; Cassandra; Cordova; Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; MongoDB; Node.js; Salesforce; Scala; SQL"
United States,Developer; Engineer; Programmer; Hacker,6 - 10 years,"$190,000 - $200,000",C; C++; Python
Denmark,Developer; Engineer; Programmer; Sr. Developer; Expert; Full-stack Developer; Hacker,11+ years,Other (please specify),C; C++; LAMP; Python; R
United States,Sr. Developer; Manager; Expert; Full-stack Developer,,"$190,000 - $200,000","Cloud (AWS, GAE, Azure, etc.); Java; JavaScript; Perl"
India,Sr. Developer,2 - 5 years,Other (please specify),PHP; WordPress
India,Developer; Programmer,2 - 5 years,Other (please specify),C; C++; Java; JavaScript
United States,Engineer; Sr. Developer,11+ years,"$190,000 - $200,000",Cassandra; Clojure; Java; PHP; Redis; Scala; Spark; SQL
United States,Full-stack Developer,11+ years,"$170,000 - $180,000","C#; Cloud (AWS, GAE, Azure, etc.); Java; MongoDB; Node.js; PHP; Python; Ruby; SQL; SQL Server; WordPress"
Iran,Developer; Programmer; Ninja,6 - 10 years,"$170,000 - $180,000",C#; Java; JavaScript; SQL; SQL Server
Romania,Developer; Programmer; Rockstar; Ninja; Guru; Expert,6 - 10 years,"$180,000 - $190,000",Android; C++; C#; iOS; JavaScript; Objective-C; PHP
United States,Engineer; Sr. Developer; Ninja; Full-stack Developer,11+ years,"$180,000 - $190,000",C#; SQL Server
United States,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,6 - 10 years,,Java; JavaScript; SQL; SQL Server
Canada,Programmer,2 - 5 years,,C; C#; Java; JavaScript; Python; SQL; SQL Server
France,Programmer,11+ years,,Android; C; Java; JavaScript
India,Developer,2 - 5 years,,C#; SharePoint
United States,Ninja,2 - 5 years,,PHP; SQL; SQL Server
United States,Sr. Developer,6 - 10 years,,C#; Ruby; SQL; SQL Server
,,6 - 10 years,,Ruby
India,Developer,1 - 2 years,,C#
Brazil,Developer; Ninja,11+ years,,Android; WordPress
India,Developer; Engineer; Programmer; Manager; Full-stack Developer; Hacker,Less than 1 year,,C; LAMP; PHP; Python; SQL; Visual Basic; WordPress
Pakistan,Developer; Engineer; Programmer; Sr. Developer; Expert,2 - 5 years,,AngularJS; JavaScript; Node.js
Russian Federation,Sr. Developer,6 - 10 years,,Android; C#; JavaScript; PHP; Python; SQL; SQL Server; Visual Basic
United Kingdom,Engineer,11+ years,,C++; JavaScript
Poland,Developer,2 - 5 years,,JavaScript; PHP; SQL
United Kingdom,Ninja; Guru,Less than 1 year,,PHP
India,Developer; Engineer; Programmer,2 - 5 years,,AngularJS; C; Java; JavaScript; MongoDB; Node.js; Python; Redis; SQL
India,Developer; Engineer; Programmer; Ninja; Guru; Expert,11+ years,,C; C++
Australia,Sr. Developer; Manager; Full-stack Developer,11+ years,,C#; PHP; SQL; SQL Server; WordPress
Singapore,Developer; Programmer; Sr. Developer,6 - 10 years,,C++; JavaScript; PHP; SQL; Visual Basic
Slovakia,Developer,2 - 5 years,,Android; Java
Spain,Developer; Programmer,1 - 2 years,,Java; SQL
United Kingdom,Developer,11+ years,,Java; SQL
United States,Developer; Programmer,6 - 10 years,,JavaScript; Python; ReactJS
Denmark,Developer; Programmer; Sr. Developer; Full-stack Developer,2 - 5 years,,Android; AngularJS; C#; Cordova; iOS; JavaScript; Python; Redis; Rust; SQL; SQL Server
Czech Republic,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,,AngularJS; C#; MongoDB; Node.js; Python; SQL Server
Italy,Developer; Engineer; Programmer; Sr. Developer,6 - 10 years,,Java; JavaScript; LAMP; PHP; Python; SQL
Czech Republic,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer,2 - 5 years,,C#; Cassandra; Java; JavaScript; Spark; SQL; SQL Server
Ukraine,Engineer; Rockstar,1 - 2 years,,Android; Java; SQL; WordPress
United Kingdom,Developer; Engineer; Programmer; Full-stack Developer,11+ years,,C++; Go; Java; PHP; Python
India,Sr. Developer; Full-stack Developer,6 - 10 years,,Android; Java; JavaScript; SQL
India,Sr. Developer; Full-stack Developer,6 - 10 years,,AngularJS; Java; JavaScript; Node.js; SQL; SQL Server
India,Developer; Engineer; Programmer,2 - 5 years,,JavaScript; PHP
United States,Developer; Programmer; Sr. Developer,11+ years,,C#; SQL
United States,Engineer,11+ years,,R
United States,Developer; Engineer; Full-stack Developer; Hacker,2 - 5 years,,Java; JavaScript; MongoDB; Node.js; SQL
India,Developer; Programmer,Less than 1 year,,Android; C#; PHP
India,Developer; Engineer; Programmer,2 - 5 years,,Android
Australia,Developer; Sr. Developer; Expert,11+ years,,C++
India,Developer,2 - 5 years,,Android; Java
India,Developer; Engineer; Programmer,6 - 10 years,,C; Java
India,Developer; Engineer; Programmer,1 - 2 years,,C; C++; Java; MongoDB; Node.js; Python; R; Ruby
India,Developer; Engineer; Programmer,2 - 5 years,,C; C++; JavaScript; Python
New Zealand,Developer,6 - 10 years,,AngularJS; C#; SQL
Sweden,Developer; Engineer; Programmer; Rockstar; Full-stack Developer,2 - 5 years,,Android; C; C++; Java; JavaScript; PHP; Python; Redis; Ruby; WordPress
United States,Programmer; Sr. Developer; Manager,11+ years,,
United States,Developer,6 - 10 years,,C++
United States,Developer; Engineer; Programmer,6 - 10 years,,C; C++; C#; JavaScript; Python; SQL
United States,Engineer; Sr. Developer; Rockstar; Expert; Full-stack Developer,11+ years,,Java; JavaScript; Salesforce; SQL
Poland,Developer; Programmer; Full-stack Developer,2 - 5 years,,Java; JavaScript; PHP; SQL
United States,Developer; Engineer; Programmer,6 - 10 years,,C; C++; Python
Spain,Developer; Programmer; Expert,11+ years,,JavaScript; MongoDB; Node.js; PHP; SQL; WordPress
Romania,Developer; Programmer,6 - 10 years,,JavaScript; PHP; SQL
South Africa,,2 - 5 years,,Perl
Belgium,Developer; Engineer; Programmer; Rockstar; Full-stack Developer; Full Stack Overflow Developer,6 - 10 years,,AngularJS; C#; JavaScript; PHP; SQL
Iran,Engineer,6 - 10 years,,C#; JavaScript; SQL Server
Sweden,Developer; Engineer; Programmer,,,C; C++; Java; JavaScript; Objective-C
United States,Developer; Engineer; Programmer; Sr. Developer; Manager; Rockstar; Ninja; Guru; Expert; Full-stack Developer,6 - 10 years,,"Android; C; C++; Cloud (AWS, GAE, Azure, etc.); iOS; Java; Objective-C; Python"
India,,2 - 5 years,,Java
India,Programmer,1 - 2 years,,Java; JavaScript; Python; SQL
Israel,Full-stack Developer,1 - 2 years,,AngularJS; C#; JavaScript
Spain,Developer; Engineer; Sr. Developer; Manager; Ninja; Guru; Expert; Full-stack Developer,6 - 10 years,,AngularJS; iOS; Java; MongoDB; Python
,Sr. Developer; Full-stack Developer,6 - 10 years,,"CoffeeScript; Cloud (AWS, GAE, Azure, etc.); JavaScript; PHP; Redis; Ruby; SQL; WordPress"
Austria,Manager; Rockstar,2 - 5 years,,
Poland,Developer; Engineer; Programmer,2 - 5 years,,Java; SQL
Romania,Developer; Programmer,2 - 5 years,,C#; JavaScript; MongoDB; Node.js; SharePoint; SQL; SQL Server
India,Sr. Developer,2 - 5 years,,"Cloud (AWS, GAE, Azure, etc.); LAMP; PHP; SQL"
Canada,Developer; Engineer; Programmer; Ninja; Full Stack Overflow Developer,6 - 10 years,,Arduino / Raspberry Pi; C#; R; SQL
Germany,Sr. Developer,11+ years,,Java
India,Sr. Developer,2 - 5 years,,Java; JavaScript; SQL
India,Developer; Programmer,1 - 2 years,,C#; JavaScript; SharePoint
Norway,Developer; Programmer; Sr. Developer; Expert; Full-stack Developer,11+ years,,C; C++; C#; JavaScript; SQL
