Id_Salary,Desc_Salary
1,0-20.000
2,20.001-40.000
3,40.001-60.000
4,60.001-80.000
5,80.001-100.000
6,100.001-120.000
7,120.001-140.000
8,140.001-160.000
9,160.001-180.000
10,180.001-200.000
11,Student / Unemployed
12,Rather not say
13,Otro
14,Null
