Year,Id_Salary,Salary,Desc_Salary,
2011,,14,Null
2011,"$100,000 - $120,000",6,$100.001-$120.000
2011,"$120,000 - $140,000",7,$120.001-$140.000
2011,"$20,000 - $40,000",2,$20.001-$40.000
2011,"$40,000 - $60,000",3,$40.001-$60.000
2011,"$60,000 - $80,000",4,$60.001-$80.000
2011,"$80,000 - $100,000",5,$80.001-$100.000
2011,"<$20,000",1,$0-$20.000
2011,">$140,000",8,$140.001-$160.000
2011,Student / Unemployed,11,Student / Unemployed
2012,,14,Null
2012,"$100,000 - $120,000",6,$100.001-$120.000
2012,"$120,000 - $140,000",7,$120.001-$140.000
2012,"$20,000 - $40,000",2,$20.001-$40.000
2012,"$40,000 - $60,000",3,$40.001-$60.000
2012,"$60,000 - $80,000",4,$60.001-$80.000
2012,"$80,000 - $100,000",5,$80.001-$100.000
2012,"<$20,000",1,$0-$20.000
2012,">$140,000",8,$140.001-$160.000
2012,Rather not say,12,Rather not say
2012,Student / Unemployed,11,Student / Unemployed
2013,,14,Null
2013,"$100,000 - $120,000",6,$100.001-$120.000
2013,"$120,000 - $140,000",7,$120.001-$140.000
2013,"$20,000 - $40,000",2,$20.001-$40.000
2013,"$40,000 - $60,000",3,$40.001-$60.000
2013,"$60,000 - $80,000",4,$60.001-$80.000
2013,"$80,000 - $100,000",5,$80.001-$100.000
2013,"<$20,000",1,$0-$20.000
2013,">$140,000",8,$140.001-$160.000
2013,Rather not say,12,Rather not say
2013,Response,14,Null
2013,Student / Unemployed,11,Student / Unemployed
2014,,14,Null
2014,"$100,000 - $120,000",6,$100.001-$120.000
2014,"$120,000 - $140,000",7,$120.001-$140.000
2014,"$20,000 - $40,000",2,$20.001-$40.000
2014,"$40,000 - $60,000",3,$40.001-$60.000
2014,"$60,000 - $80,000",4,$60.001-$80.000
2014,"$80,000 - $100,000",5,$80.001-$100.000
2014,"<$20,000",1,$0-$20.000
2014,">$140,000",8,$140.001-$160.000
2014,Rather not say,12,Rather not say
